location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents;towards Neumarkt pedestrians count;towards Neuer Wall pedestrians count;adult pedestrians count;child pedestrians count;adult towards Neumarkt pedestrians count;adult towards Neuer Wall pedestrians count;child towards Neumarkt pedestrians count;child towards Neuer Wall pedestrians count;zone 1 pedestrians count;zone 1 towards Neumarkt pedestrians count;zone 1 towards Neuer Wall pedestrians count;zone 2 pedestrians count;zone 2 towards Neumarkt pedestrians count;zone 2 towards Neuer Wall pedestrians count;collection_type
Steinstraße, Moers;2025-11-01 00:00:00 +0100;Saturday;2935;14;rain;;1478;1457;2849;86;1429;1420;49;37;1297;834;463;1638;644;994;mixed
Steinstraße, Moers;2025-11-02 00:00:00 +0100;Sunday;4892;14;rain;;2542;2350;4716;176;2443;2273;99;77;2188;1486;702;2704;1056;1648;measured
Steinstraße, Moers;2025-11-03 00:00:00 +0100;Monday;14111;13;rain;;6905;7206;13600;511;6636;6964;269;242;6674;4148;2526;7437;2757;4680;measured
Steinstraße, Moers;2025-11-04 00:00:00 +0100;Tuesday;15931;16;cloudy;;7823;8108;15408;523;7572;7836;251;272;7567;4767;2800;8364;3056;5308;measured
Steinstraße, Moers;2025-11-05 00:00:00 +0100;Wednesday;14717;16;partly-cloudy-day;;7354;7363;14167;550;7050;7117;304;246;6657;4263;2394;8060;3091;4969;measured
Steinstraße, Moers;2025-11-06 00:00:00 +0100;Thursday;14340;15;partly-cloudy-day;;7162;7178;13814;526;6872;6942;290;236;6166;3937;2229;8174;3225;4949;measured
Steinstraße, Moers;2025-11-07 00:00:00 +0100;Friday;18364;15;partly-cloudy-day;;9095;9269;17685;679;8745;8940;350;329;8742;5720;3022;9622;3375;6247;mixed
Steinstraße, Moers;2025-11-08 00:00:00 +0100;Saturday;19750;11;partly-cloudy-day;;9863;9887;19054;696;9497;9557;366;330;8976;6174;2802;10774;3689;7085;measured
Steinstraße, Moers;2025-11-09 00:00:00 +0100;Sunday;4310;13;rain;;2226;2084;4162;148;2142;2020;84;64;1827;1174;653;2483;1052;1431;measured
Steinstraße, Moers;2025-11-10 00:00:00 +0100;Monday;13685;10;rain;;6798;6887;13255;430;6567;6688;231;199;6212;3956;2256;7473;2842;4631;measured
