location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents;towards Neumarkt pedestrians count;towards Neuer Wall pedestrians count;adult pedestrians count;child pedestrians count;adult towards Neumarkt pedestrians count;adult towards Neuer Wall pedestrians count;child towards Neumarkt pedestrians count;child towards Neuer Wall pedestrians count;zone 1 pedestrians count;zone 1 towards Neumarkt pedestrians count;zone 1 towards Neuer Wall pedestrians count;zone 2 pedestrians count;zone 2 towards Neumarkt pedestrians count;zone 2 towards Neuer Wall pedestrians count;collection_type
Steinstraße, Moers;2026-02-01 00:00:00 +0100;Sunday;3881;8;rain;;1940;1941;3758;123;1868;1890;72;51;1601;985;616;2280;955;1325;mixed
Steinstraße, Moers;2026-02-02 00:00:00 +0100;Monday;12597;8;rain;;6253;6344;12182;415;6033;6149;220;195;5766;3485;2281;6831;2768;4063;measured
Steinstraße, Moers;2026-02-03 00:00:00 +0100;Tuesday;10233;4;snow;;5037;5196;9946;287;4885;5061;152;135;5105;2973;2132;5128;2064;3064;mixed
Steinstraße, Moers;2026-02-04 00:00:00 +0100;Wednesday;14619;11;partly-cloudy-day;;7270;7349;14012;607;6942;7070;328;279;6778;4282;2496;7841;2988;4853;mixed
Steinstraße, Moers;2026-02-05 00:00:00 +0100;Thursday;13186;7;rain;;6514;6672;12751;435;6275;6476;239;196;5918;3715;2203;7268;2799;4469;mixed
Steinstraße, Moers;2026-02-06 00:00:00 +0100;Friday;13445;7;rain;;6601;6844;13108;337;6427;6681;174;163;6256;3877;2379;7189;2724;4465;mixed
Steinstraße, Moers;2026-02-07 00:00:00 +0100;Saturday;22255;13;rain;;11203;11052;21447;808;10762;10685;441;367;10277;7207;3070;11978;3996;7982;mixed
Steinstraße, Moers;2026-02-08 00:00:00 +0100;Sunday;3683;7;partly-cloudy-day;;1793;1890;3565;118;1737;1828;56;62;1471;888;583;2212;905;1307;mixed
Steinstraße, Moers;2026-02-09 00:00:00 +0100;Monday;12676;7;partly-cloudy-day;;6303;6373;12279;397;6086;6193;217;180;5772;3634;2138;6904;2669;4235;mixed
Steinstraße, Moers;2026-02-10 00:00:00 +0100;Tuesday;11976;9;rain;;5907;6069;11610;366;5716;5894;191;175;5546;3261;2285;6430;2646;3784;mixed
Steinstraße, Moers;2026-02-11 00:00:00 +0100;Wednesday;9440;11;rain;;4636;4804;9140;300;4482;4658;154;146;4564;2629;1935;4876;2007;2869;mixed
Steinstraße, Moers;2026-02-12 00:00:00 +0100;Thursday;9414;10;rain;;4608;4806;9125;289;4460;4665;148;141;4571;2744;1827;4843;1864;2979;mixed
Steinstraße, Moers;2026-02-13 00:00:00 +0100;Friday;15241;8;rain;;7500;7741;14767;474;7263;7504;237;237;6939;4369;2570;8302;3131;5171;mixed
Steinstraße, Moers;2026-02-14 00:00:00 +0100;Saturday;10346;2;rain;;5297;5049;10135;211;5194;4941;103;108;4674;3009;1665;5672;2288;3384;mixed
Steinstraße, Moers;2026-02-15 00:00:00 +0100;Sunday;3205;4;snow;;1650;1555;3127;78;1601;1526;49;29;1280;826;454;1925;824;1101;mixed
Steinstraße, Moers;2026-02-16 00:00:00 +0100;Monday;8367;8;snow;;4103;4264;8144;223;3997;4147;106;117;4112;2465;1647;4255;1638;2617;mixed
Steinstraße, Moers;2026-02-17 00:00:00 +0100;Tuesday;10522;6;rain;;5126;5396;10186;336;4956;5230;170;166;5121;3006;2115;5401;2120;3281;mixed
Steinstraße, Moers;2026-02-18 00:00:00 +0100;Wednesday;11200;6;partly-cloudy-day;;5464;5736;10887;313;5300;5587;164;149;5085;3003;2082;6115;2461;3654;mixed
Steinstraße, Moers;2026-02-19 00:00:00 +0100;Thursday;7163;5;snow;;3479;3684;6970;193;3383;3587;96;97;3558;2042;1516;3605;1437;2168;mixed
Steinstraße, Moers;2026-02-20 00:00:00 +0100;Friday;11879;7;rain;;5874;6005;11551;328;5695;5856;179;149;5945;3536;2409;5934;2338;3596;mixed
Steinstraße, Moers;2026-02-21 00:00:00 +0100;Saturday;14366;10;rain;;7225;7141;13902;464;6982;6920;243;221;6389;4202;2187;7977;3023;4954;mixed
Steinstraße, Moers;2026-02-22 00:00:00 +0100;Sunday;1879;12;rain;;941;938;1842;37;923;919;18;19;778;445;333;1101;496;605;measured
Steinstraße, Moers;2026-02-23 00:00:00 +0100;Monday;10173;12;rain;;4965;5208;9858;315;4792;5066;173;142;4868;2831;2037;5305;2134;3171;mixed
Steinstraße, Moers;2026-02-24 00:00:00 +0100;Tuesday;12859;12;rain;;6358;6501;12447;412;6130;6317;228;184;6346;3909;2437;6513;2449;4064;mixed
Steinstraße, Moers;2026-02-25 00:00:00 +0100;Wednesday;15784;17;partly-cloudy-day;;7912;7872;15104;680;7532;7572;380;300;6989;4602;2387;8795;3310;5485;measured
Steinstraße, Moers;2026-02-26 00:00:00 +0100;Thursday;15130;18;partly-cloudy-day;;7557;7573;14559;571;7238;7321;319;252;6792;4396;2396;8338;3161;5177;mixed
Steinstraße, Moers;2026-02-27 00:00:00 +0100;Friday;18306;19;rain;;9169;9137;17597;709;8789;8808;380;329;9208;6074;3134;9098;3095;6003;mixed
Steinstraße, Moers;2026-02-28 00:00:00 +0100;Saturday;16127;13;rain;;8179;7948;15618;509;7903;7715;276;233;7586;4969;2617;8541;3210;5331;mixed
