location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents;towards Neumarkt pedestrians count;towards Neuer Wall pedestrians count;adult pedestrians count;child pedestrians count;adult towards Neumarkt pedestrians count;adult towards Neuer Wall pedestrians count;child towards Neumarkt pedestrians count;child towards Neuer Wall pedestrians count;zone 1 pedestrians count;zone 1 towards Neumarkt pedestrians count;zone 1 towards Neuer Wall pedestrians count;zone 2 pedestrians count;zone 2 towards Neumarkt pedestrians count;zone 2 towards Neuer Wall pedestrians count;collection_type
Steinstraße, Moers;2026-05-01 00:00:00 +0200;Friday;5627;23;clear-day;;2907;2720;5405;222;2793;2612;114;108;2155;1421;734;3472;1486;1986;measured
Steinstraße, Moers;2026-05-02 00:00:00 +0200;Saturday;18543;24;rain;;9382;9161;17869;674;9007;8862;375;299;8300;5576;2724;10243;3806;6437;mixed
Steinstraße, Moers;2026-05-03 00:00:00 +0200;Sunday;3246;20;rain;;1604;1642;3145;101;1553;1592;51;50;1316;803;513;1930;801;1129;measured
Steinstraße, Moers;2026-05-04 00:00:00 +0200;Monday;12994;19;rain;;6359;6635;12527;467;6120;6407;239;228;5927;3720;2207;7067;2639;4428;measured
Steinstraße, Moers;2026-05-05 00:00:00 +0200;Tuesday;11688;14;rain;;5669;6019;11347;341;5490;5857;179;162;5494;3375;2119;6194;2294;3900;measured
Steinstraße, Moers;2026-05-06 00:00:00 +0200;Wednesday;6394;11;rain;;3037;3357;6242;152;2954;3288;83;69;2615;1530;1085;3779;1507;2272;mixed
Steinstraße, Moers;2026-05-07 00:00:00 +0200;Thursday;14332;16;partly-cloudy-day;;7032;7300;13830;502;6765;7065;267;235;6521;4230;2291;7811;2802;5009;mixed
Steinstraße, Moers;2026-05-08 00:00:00 +0200;Friday;17311;18;partly-cloudy-day;;8548;8763;16703;608;8207;8496;341;267;8391;5472;2919;8920;3076;5844;mixed
Steinstraße, Moers;2026-05-09 00:00:00 +0200;Saturday;20358;20;clear-day;;10174;10184;19610;748;9759;9851;415;333;9132;6355;2777;11226;3819;7407;measured
Steinstraße, Moers;2026-05-10 00:00:00 +0200;Sunday;24859;20;partly-cloudy-day;;13172;11687;23852;1007;12605;11247;567;440;12312;10107;2205;12547;3065;9482;mixed
Steinstraße, Moers;2026-05-11 00:00:00 +0200;Monday;9928;12;rain;;4782;5146;9635;293;4641;4994;141;152;4843;2840;2003;5085;1942;3143;measured
Steinstraße, Moers;2026-05-12 00:00:00 +0200;Tuesday;13347;13;partly-cloudy-day;;6522;6825;12931;416;6300;6631;222;194;6474;4078;2396;6873;2444;4429;measured
Steinstraße, Moers;2026-05-13 00:00:00 +0200;Wednesday;10058;13;rain;;4932;5126;9727;331;4754;4973;178;153;4789;2839;1950;5269;2093;3176;mixed
Steinstraße, Moers;2026-05-14 00:00:00 +0200;Thursday;3269;10;rain;;1636;1633;3200;69;1599;1601;37;32;1529;954;575;1740;682;1058;measured
Steinstraße, Moers;2026-05-15 00:00:00 +0200;Friday;20008;13;rain;;9912;10096;19283;725;9565;9718;347;378;10073;6655;3418;9935;3257;6678;measured
Steinstraße, Moers;2026-05-16 00:00:00 +0200;Saturday;17690;14;partly-cloudy-day;;8915;8775;17075;615;8573;8502;342;273;8089;5425;2664;9601;3490;6111;measured
Steinstraße, Moers;2026-05-17 00:00:00 +0200;Sunday;2653;14;rain;;1359;1294;2570;83;1321;1249;38;45;1125;697;428;1528;662;866;measured
Steinstraße, Moers;2026-05-18 00:00:00 +0200;Monday;11898;17;rain;;5865;6033;11484;414;5657;5827;208;206;5508;3414;2094;6390;2451;3939;mixed
Steinstraße, Moers;2026-05-19 00:00:00 +0200;Tuesday;13119;17;rain;;6419;6700;12685;434;6199;6486;220;214;6094;3877;2217;7025;2542;4483;mixed
Steinstraße, Moers;2026-05-20 00:00:00 +0200;Wednesday;10881;18;rain;;5373;5508;10542;339;5193;5349;180;159;5018;3048;1970;5863;2325;3538;measured
Steinstraße, Moers;2026-05-21 00:00:00 +0200;Thursday;15244;22;partly-cloudy-day;;7667;7577;14611;633;7338;7273;329;304;6680;4259;2421;8564;3408;5156;measured
Steinstraße, Moers;2026-05-22 00:00:00 +0200;Friday;19302;27;clear-day;;9794;9508;18569;733;9381;9188;413;320;8404;5442;2962;10898;4352;6546;measured
Steinstraße, Moers;2026-05-23 00:00:00 +0200;Saturday;19822;30;clear-day;;10243;9579;19159;663;9867;9292;376;287;7983;5479;2504;11839;4764;7075;measured
Steinstraße, Moers;2026-05-24 00:00:00 +0200;Sunday;9365;27;partly-cloudy-day;;4996;4369;9090;275;4828;4262;168;107;2822;1924;898;6543;3072;3471;measured
Steinstraße, Moers;2026-05-25 00:00:00 +0200;Monday;7534;29;clear-day;;3864;3670;7282;252;3735;3547;129;123;2182;1442;740;5352;2422;2930;measured
Steinstraße, Moers;2026-05-26 00:00:00 +0200;Tuesday;14156;31;clear-day;;7087;7069;13702;454;6834;6868;253;201;6056;3787;2269;8100;3300;4800;mixed
Steinstraße, Moers;2026-05-27 00:00:00 +0200;Wednesday;12823;25;partly-cloudy-day;;6376;6447;12323;500;6105;6218;271;229;5427;3420;2007;7396;2956;4440;measured
Steinstraße, Moers;2026-05-28 00:00:00 +0200;Thursday;14503;25;partly-cloudy-day;;7139;7364;13925;578;6843;7082;296;282;6171;3880;2291;8332;3259;5073;measured
Steinstraße, Moers;2026-05-29 00:00:00 +0200;Friday;13884;31;rain;;6992;6892;13430;454;6750;6680;242;212;6119;3867;2252;7765;3125;4640;measured
Steinstraße, Moers;2026-05-30 00:00:00 +0200;Saturday;16878;26;partly-cloudy-day;;8499;8379;16298;580;8181;8117;318;262;7200;4924;2276;9678;3575;6103;measured
Steinstraße, Moers;2026-05-31 00:00:00 +0200;Sunday;3869;24;rain;;1990;1879;3741;128;1924;1817;66;62;1690;1092;598;2179;898;1281;mixed
