location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents;towards Neumarkt pedestrians count;towards Neuer Wall pedestrians count;adult pedestrians count;child pedestrians count;adult towards Neumarkt pedestrians count;adult towards Neuer Wall pedestrians count;child towards Neumarkt pedestrians count;child towards Neuer Wall pedestrians count;zone 1 pedestrians count;zone 1 towards Neumarkt pedestrians count;zone 1 towards Neuer Wall pedestrians count;zone 2 pedestrians count;zone 2 towards Neumarkt pedestrians count;zone 2 towards Neuer Wall pedestrians count;collection_type
Steinstraße, Moers;2026-08-01 00:00:00 +0200;Saturday;17631;26;partly-cloudy-day;;9158;8473;17000;631;8805;8195;353;278;7266;5014;2252;10365;4144;6221;mixed
Steinstraße, Moers;2026-08-02 00:00:00 +0200;Sunday;3924;30;partly-cloudy-day;;1999;1925;3782;142;1921;1861;78;64;1159;753;406;2765;1246;1519;measured
Steinstraße, Moers;2026-08-03 00:00:00 +0200;Monday;11734;36;partly-cloudy-day;;5792;5942;11334;400;5579;5755;213;187;4850;2977;1873;6884;2815;4069;mixed
Steinstraße, Moers;2026-08-04 00:00:00 +0200;Tuesday;12293;31;rain;;6133;6160;11870;423;5909;5961;224;199;5575;3527;2048;6718;2606;4112;mixed
Steinstraße, Moers;2026-08-05 00:00:00 +0200;Wednesday;12621;29;partly-cloudy-day;;6378;6243;12119;502;6109;6010;269;233;5274;3453;1821;7347;2925;4422;mixed
Steinstraße, Moers;2026-08-06 00:00:00 +0200;Thursday;14504;24;partly-cloudy-day;;7202;7302;13925;579;6891;7034;311;268;7181;4667;2514;7323;2535;4788;mixed
Steinstraße, Moers;2026-08-07 00:00:00 +0200;Friday;15777;22;partly-cloudy-day;;7850;7927;15145;632;7497;7648;353;279;6969;4695;2274;8808;3155;5653;measured
Steinstraße, Moers;2026-08-08 00:00:00 +0200;Saturday;15969;28;clear-day;;8064;7905;15424;545;7786;7638;278;267;6220;4288;1932;9749;3776;5973;measured
Steinstraße, Moers;2026-08-09 00:00:00 +0200;Sunday;3245;31;partly-cloudy-day;;1610;1635;3146;99;1570;1576;40;59;1056;656;400;2189;954;1235;measured
Steinstraße, Moers;2026-08-10 00:00:00 +0200;Monday;13036;28;clear-day;;6555;6481;12469;567;6225;6244;330;237;5208;3438;1770;7828;3117;4711;mixed
Steinstraße, Moers;2026-08-11 00:00:00 +0200;Tuesday;15421;26;clear-day;;7694;7727;14806;615;7373;7433;321;294;6216;4271;1945;9205;3423;5782;measured
Steinstraße, Moers;2026-08-12 00:00:00 +0200;Wednesday;12399;30;clear-day;;6247;6152;11908;491;5973;5935;274;217;4601;3009;1592;7798;3238;4560;measured
Steinstraße, Moers;2026-08-13 00:00:00 +0200;Thursday;10384;36;clear-day;;5145;5239;10048;336;4969;5079;176;160;3711;2323;1388;6673;2822;3851;mixed
Steinstraße, Moers;2026-08-14 00:00:00 +0200;Friday;10369;37;clear-day;;5102;5267;9998;371;4902;5096;200;171;3980;2373;1607;6389;2729;3660;measured
Steinstraße, Moers;2026-08-15 00:00:00 +0200;Saturday;12666;28;partly-cloudy-day;;6418;6248;12214;452;6174;6040;244;208;5636;3828;1808;7030;2590;4440;mixed
Steinstraße, Moers;2026-08-16 00:00:00 +0200;Sunday;3777;25;partly-cloudy-day;;1964;1813;3640;137;1895;1745;69;68;1283;864;419;2494;1100;1394;mixed
Steinstraße, Moers;2026-08-17 00:00:00 +0200;Monday;10734;20;rain;;5396;5338;10375;359;5192;5183;204;155;4656;3032;1624;6078;2364;3714;measured
Steinstraße, Moers;2026-08-18 00:00:00 +0200;Tuesday;8830;20;rain;;4341;4489;8566;264;4212;4354;129;135;3747;2252;1495;5083;2089;2994;measured
Steinstraße, Moers;2026-08-19 00:00:00 +0200;Wednesday;9021;20;rain;;4462;4559;8714;307;4308;4406;154;153;4104;2524;1580;4917;1938;2979;measured
Steinstraße, Moers;2026-08-20 00:00:00 +0200;Thursday;13299;23;rain;;6721;6578;12810;489;6455;6355;266;223;5780;3844;1936;7519;2877;4642;mixed
Steinstraße, Moers;2026-08-21 00:00:00 +0200;Friday;14127;22;rain;;7032;7095;13593;534;6741;6852;291;243;6607;4403;2204;7520;2629;4891;measured
Steinstraße, Moers;2026-08-22 00:00:00 +0200;Saturday;15259;21;partly-cloudy-day;;7715;7544;14683;576;7381;7302;334;242;7174;4858;2316;8085;2857;5228;mixed
Steinstraße, Moers;2026-08-23 00:00:00 +0200;Sunday;3972;21;partly-cloudy-day;;1998;1974;3827;145;1922;1905;76;69;1573;1080;493;2399;918;1481;measured
Steinstraße, Moers;2026-08-24 00:00:00 +0200;Monday;14520;23;clear-day;;7310;7210;13915;605;6990;6925;320;285;6193;4070;2123;8327;3240;5087;measured
Steinstraße, Moers;2026-08-25 00:00:00 +0200;Tuesday;14597;23;partly-cloudy-day;;7280;7317;14034;563;6991;7043;289;274;6588;4396;2192;8009;2884;5125;measured
Steinstraße, Moers;2026-08-26 00:00:00 +0200;Wednesday;13417;26;partly-cloudy-day;;6765;6652;12899;518;6473;6426;292;226;5700;3822;1878;7717;2943;4774;measured
Steinstraße, Moers;2026-08-27 00:00:00 +0200;Thursday;12537;32;rain;;6320;6217;12000;537;6046;5954;274;263;5451;3509;1942;7086;2811;4275;mixed
Steinstraße, Moers;2026-08-28 00:00:00 +0200;Friday;13387;23;rain;;6589;6798;12874;513;6327;6547;262;251;6180;3913;2267;7207;2676;4531;measured
Steinstraße, Moers;2026-08-29 00:00:00 +0200;Saturday;16783;24;rain;;8444;8339;16166;617;8079;8087;365;252;7505;5195;2310;9278;3249;6029;measured
Steinstraße, Moers;2026-08-30 00:00:00 +0200;Sunday;3613;23;rain;;1879;1734;3463;150;1800;1663;79;71;1414;935;479;2199;944;1255;measured
Steinstraße, Moers;2026-08-31 00:00:00 +0200;Monday;13161;20;partly-cloudy-day;;6508;6653;12667;494;6256;6411;252;242;5904;3681;2223;7257;2827;4430;mixed
