location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents;towards Neumarkt pedestrians count;towards Neuer Wall pedestrians count;adult pedestrians count;child pedestrians count;adult towards Neumarkt pedestrians count;adult towards Neuer Wall pedestrians count;child towards Neumarkt pedestrians count;child towards Neuer Wall pedestrians count;zone 1 pedestrians count;zone 1 towards Neumarkt pedestrians count;zone 1 towards Neuer Wall pedestrians count;zone 2 pedestrians count;zone 2 towards Neumarkt pedestrians count;zone 2 towards Neuer Wall pedestrians count;collection_type
Steinstraße, Moers;2025-09-01 00:00:00 +0200;Monday;13788;23;rain;;6805;6983;13322;466;6549;6773;256;210;6202;4010;2192;7586;2795;4791;measured
Steinstraße, Moers;2025-09-02 00:00:00 +0200;Tuesday;15986;22;rain;;7935;8051;15342;644;7598;7744;337;307;7583;4971;2612;8403;2964;5439;measured
Steinstraße, Moers;2025-09-03 00:00:00 +0200;Wednesday;13441;24;rain;;6695;6746;12938;503;6414;6524;281;222;6467;4114;2353;6974;2581;4393;measured
Steinstraße, Moers;2025-09-04 00:00:00 +0200;Thursday;14084;23;rain;;7025;7059;13562;522;6755;6807;270;252;5696;3952;1744;8388;3073;5315;measured
Steinstraße, Moers;2025-09-05 00:00:00 +0200;Friday;37443;21;rain;;20965;16478;36231;1212;20242;15989;723;489;16509;14011;2498;20934;6954;13980;measured
Steinstraße, Moers;2025-09-06 00:00:00 +0200;Saturday;50166;23;partly-cloudy-day;;28870;21296;48318;1848;27697;20621;1173;675;23024;20448;2576;27142;8422;18720;measured
Steinstraße, Moers;2025-09-07 00:00:00 +0200;Sunday;36651;27;partly-cloudy-day;;22011;14640;34981;1670;20942;14039;1069;601;16248;14666;1582;20403;7345;13058;measured
Steinstraße, Moers;2025-09-08 00:00:00 +0200;Monday;29448;24;rain;;16514;12934;28487;961;15949;12538;565;396;12982;11029;1953;16466;5485;10981;measured
Steinstraße, Moers;2025-09-09 00:00:00 +0200;Tuesday;19322;18;rain;;10622;8700;18694;628;10237;8457;385;243;8325;6626;1699;10997;3996;7001;measured
Steinstraße, Moers;2025-09-10 00:00:00 +0200;Wednesday;13408;21;partly-cloudy-day;;6659;6749;12948;460;6413;6535;246;214;5831;3866;1965;7577;2793;4784;measured
