location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents;towards Neumarkt pedestrians count;towards Neuer Wall pedestrians count;adult pedestrians count;child pedestrians count;adult towards Neumarkt pedestrians count;adult towards Neuer Wall pedestrians count;child towards Neumarkt pedestrians count;child towards Neuer Wall pedestrians count;zone 1 pedestrians count;zone 1 towards Neumarkt pedestrians count;zone 1 towards Neuer Wall pedestrians count;zone 2 pedestrians count;zone 2 towards Neumarkt pedestrians count;zone 2 towards Neuer Wall pedestrians count;collection_type
Steinstraße, Moers;2026-06-01 00:00:00 +0200;Monday;14192;23;partly-cloudy-day;;7024;7168;13655;537;6739;6916;285;252;6076;3928;2148;8116;3096;5020;mixed
Steinstraße, Moers;2026-06-02 00:00:00 +0200;Tuesday;10985;22;rain;;5334;5651;10671;314;5183;5488;151;163;5285;3107;2178;5700;2227;3473;measured
Steinstraße, Moers;2026-06-03 00:00:00 +0200;Wednesday;12979;19;rain;;6430;6549;12559;420;6210;6349;220;200;5905;3679;2226;7074;2751;4323;mixed
Steinstraße, Moers;2026-06-04 00:00:00 +0200;Thursday;4294;18;rain;;2251;2043;4180;114;2193;1987;58;56;1764;1170;594;2530;1081;1449;measured
Steinstraße, Moers;2026-06-05 00:00:00 +0200;Friday;19383;19;rain;;9706;9677;18673;710;9314;9359;392;318;9285;6170;3115;10098;3536;6562;measured
Steinstraße, Moers;2026-06-06 00:00:00 +0200;Saturday;16620;21;rain;;8487;8133;16061;559;8199;7862;288;271;7589;5261;2328;9031;3226;5805;measured
Steinstraße, Moers;2026-06-07 00:00:00 +0200;Sunday;5061;19;cloudy;;2546;2515;4910;151;2469;2441;77;74;1953;1316;637;3108;1230;1878;mixed
Steinstraße, Moers;2026-06-08 00:00:00 +0200;Monday;12675;22;rain;;6175;6500;12224;451;5956;6268;219;232;5495;3534;1961;7180;2641;4539;measured
Steinstraße, Moers;2026-06-09 00:00:00 +0200;Tuesday;13459;19;rain;;6581;6878;13020;439;6345;6675;236;203;6082;3883;2199;7377;2698;4679;measured
Steinstraße, Moers;2026-06-10 00:00:00 +0200;Wednesday;12100;18;rain;;5970;6130;11653;447;5725;5928;245;202;5396;3319;2077;6704;2651;4053;mixed
Steinstraße, Moers;2026-06-11 00:00:00 +0200;Thursday;11716;17;rain;;5751;5965;11295;421;5526;5769;225;196;5433;3215;2218;6283;2536;3747;mixed
Steinstraße, Moers;2026-06-12 00:00:00 +0200;Friday;14677;20;rain;;7131;7546;14189;488;6862;7327;269;219;7859;4550;3309;6818;2581;4237;measured
Steinstraße, Moers;2026-06-13 00:00:00 +0200;Saturday;17037;20;partly-cloudy-day;;8468;8569;16449;588;8163;8286;305;283;7893;5394;2499;9144;3074;6070;mixed
Steinstraße, Moers;2026-06-14 00:00:00 +0200;Sunday;4318;19;partly-cloudy-day;;2226;2092;4130;188;2123;2007;103;85;1753;1090;663;2565;1136;1429;measured
Steinstraße, Moers;2026-06-15 00:00:00 +0200;Monday;11472;19;rain;;5601;5871;11097;375;5418;5679;183;192;5196;3140;2056;6276;2461;3815;mixed
Steinstraße, Moers;2026-06-16 00:00:00 +0200;Tuesday;14148;25;partly-cloudy-day;;6954;7194;13618;530;6666;6952;288;242;5903;3738;2165;8245;3216;5029;measured
Steinstraße, Moers;2026-06-17 00:00:00 +0200;Wednesday;12438;25;partly-cloudy-day;;6211;6227;12013;425;5985;6028;226;199;3596;2201;1395;8842;4010;4832;mixed
Steinstraße, Moers;2026-06-18 00:00:00 +0200;Thursday;11400;32;partly-cloudy-day;;5557;5843;11023;377;5371;5652;186;191;3576;2354;1222;7824;3203;4621;mixed
Steinstraße, Moers;2026-06-19 00:00:00 +0200;Friday;11059;35;rain;;5501;5558;10735;324;5311;5424;190;134;3707;2412;1295;7352;3089;4263;mixed
Steinstraße, Moers;2026-06-20 00:00:00 +0200;Saturday;11722;32;partly-cloudy-day;;5937;5785;11413;309;5774;5639;163;146;4140;2735;1405;7582;3202;4380;mixed
Steinstraße, Moers;2026-06-21 00:00:00 +0200;Sunday;3409;30;rain;;1760;1649;3276;133;1681;1595;79;54;754;546;208;2655;1214;1441;measured
Steinstraße, Moers;2026-06-22 00:00:00 +0200;Monday;10762;30;clear-day;;5268;5494;10397;365;5092;5305;176;189;4153;2443;1710;6609;2825;3784;measured
Steinstraße, Moers;2026-06-23 00:00:00 +0200;Tuesday;13098;29;partly-cloudy-day;;6497;6601;12591;507;6212;6379;285;222;5377;3394;1983;7721;3103;4618;mixed
Steinstraße, Moers;2026-06-24 00:00:00 +0200;Wednesday;9177;35;clear-day;;4534;4643;8922;255;4392;4530;142;113;3599;2088;1511;5578;2446;3132;measured
Steinstraße, Moers;2026-06-25 00:00:00 +0200;Thursday;8522;34;clear-day;;4193;4329;8244;278;4046;4198;147;131;3576;2015;1561;4946;2178;2768;mixed
Steinstraße, Moers;2026-06-26 00:00:00 +0200;Friday;8038;39;rain;;3944;4094;7801;237;3817;3984;127;110;3388;1939;1449;4650;2005;2645;measured
Steinstraße, Moers;2026-06-27 00:00:00 +0200;Saturday;8887;37;clear-day;;4465;4422;8660;227;4338;4322;127;100;3345;1974;1371;5542;2491;3051;measured
Steinstraße, Moers;2026-06-28 00:00:00 +0200;Sunday;3161;32;partly-cloudy-day;;1650;1511;3051;110;1586;1465;64;46;1118;730;388;2043;920;1123;mixed
Steinstraße, Moers;2026-06-29 00:00:00 +0200;Monday;13082;28;partly-cloudy-day;;6491;6591;12626;456;6246;6380;245;211;5172;3144;2028;7910;3347;4563;mixed
Steinstraße, Moers;2026-06-30 00:00:00 +0200;Tuesday;14508;26;partly-cloudy-day;;7183;7325;13910;598;6876;7034;307;291;6702;4138;2564;7806;3045;4761;mixed
