Standort;Messzeitpunkt;Stunde;Wochentag;Wochentag ID;Kalenderwoche;Quartal;Lokale Zeitzone;Zeitintervall;Passantenaufkommen pro Standort;Richtung;Passantentyp;Passantenanzahl;ID;Kommune
Westenhellweg (West);2026-01-01T01:00:00+00:00;2;Donnerstag;4;1;1;Europe/Berlin;hour;127;Richtung - Ostenhellweg;Erwachsene;66;575;Dortmund
Westenhellweg (West);2026-01-01T01:00:00+00:00;2;Donnerstag;4;1;1;Europe/Berlin;hour;127;Richtung - Westentor;Kinder;0;575;Dortmund
Westenhellweg (Mitte);2026-01-01T01:00:00+00:00;2;Donnerstag;4;1;1;Europe/Berlin;hour;204;Richtung - Hansastraße;Kinder;0;49;Dortmund
Westenhellweg (Ost);2026-01-01T01:00:00+00:00;2;Donnerstag;4;1;1;Europe/Berlin;hour;136;Richtung - Ostenhellweg;Erwachsene;64;246;Dortmund
Westenhellweg (Ost);2026-01-01T01:00:00+00:00;2;Donnerstag;4;1;1;Europe/Berlin;hour;136;Richtung - Ostenhellweg;Kinder;1;246;Dortmund
Westenhellweg (Mitte);2026-01-01T02:00:00+00:00;3;Donnerstag;4;1;1;Europe/Berlin;hour;92;Richtung - Hansastraße;Kinder;1;49;Dortmund
Westenhellweg (Mitte);2026-01-01T02:00:00+00:00;3;Donnerstag;4;1;1;Europe/Berlin;hour;92;Richtung - Petrikirche;Erwachsene;33;49;Dortmund
Westenhellweg (Mitte);2026-01-01T02:00:00+00:00;3;Donnerstag;4;1;1;Europe/Berlin;hour;92;Richtung - Petrikirche;Kinder;0;49;Dortmund
Westenhellweg (West);2026-01-01T02:00:00+00:00;3;Donnerstag;4;1;1;Europe/Berlin;hour;96;Richtung - Ostenhellweg;Kinder;0;575;Dortmund
Westenhellweg (West);2026-01-01T02:00:00+00:00;3;Donnerstag;4;1;1;Europe/Berlin;hour;96;Richtung - Westentor;Erwachsene;49;575;Dortmund
Westenhellweg (Ost);2026-01-01T02:00:00+00:00;3;Donnerstag;4;1;1;Europe/Berlin;hour;72;Richtung - Hansastraße;Erwachsene;33;246;Dortmund
Westenhellweg (Ost);2026-01-01T02:00:00+00:00;3;Donnerstag;4;1;1;Europe/Berlin;hour;72;Richtung - Hansastraße;Kinder;0;246;Dortmund
Westenhellweg (Ost);2026-01-01T02:00:00+00:00;3;Donnerstag;4;1;1;Europe/Berlin;hour;72;Richtung - Ostenhellweg;Erwachsene;39;246;Dortmund
Westenhellweg (West);2026-01-01T02:00:00+00:00;3;Donnerstag;4;1;1;Europe/Berlin;hour;96;Richtung - Ostenhellweg;Erwachsene;47;575;Dortmund
Westenhellweg (West);2026-01-01T02:00:00+00:00;3;Donnerstag;4;1;1;Europe/Berlin;hour;96;Richtung - Westentor;Kinder;0;575;Dortmund
Westenhellweg (Mitte);2026-01-01T02:00:00+00:00;3;Donnerstag;4;1;1;Europe/Berlin;hour;92;Richtung - Hansastraße;Erwachsene;58;49;Dortmund
Westenhellweg (Ost);2026-01-01T02:00:00+00:00;3;Donnerstag;4;1;1;Europe/Berlin;hour;72;Richtung - Ostenhellweg;Kinder;0;246;Dortmund
Westenhellweg (West);2026-01-01T03:00:00+00:00;4;Donnerstag;4;1;1;Europe/Berlin;hour;63;Richtung - Ostenhellweg;Kinder;0;575;Dortmund
Westenhellweg (West);2026-01-01T03:00:00+00:00;4;Donnerstag;4;1;1;Europe/Berlin;hour;63;Richtung - Westentor;Erwachsene;31;575;Dortmund
