location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents;towards Neumarkt pedestrians count;towards Neuer Wall pedestrians count;adult pedestrians count;child pedestrians count;adult towards Neumarkt pedestrians count;adult towards Neuer Wall pedestrians count;child towards Neumarkt pedestrians count;child towards Neuer Wall pedestrians count;zone 1 pedestrians count;zone 1 towards Neumarkt pedestrians count;zone 1 towards Neuer Wall pedestrians count;zone 2 pedestrians count;zone 2 towards Neumarkt pedestrians count;zone 2 towards Neuer Wall pedestrians count;collection_type
Steinstraße, Moers;2025-06-01 00:00:00 +0200;Sunday;3813;21;rain;;1958;1855;3664;149;1876;1788;82;67;1485;944;541;2328;1014;1314;measured
Steinstraße, Moers;2025-06-02 00:00:00 +0200;Monday;13326;19;rain;;6666;6660;12805;521;6398;6407;268;253;5895;3680;2215;7431;2986;4445;measured
Steinstraße, Moers;2025-06-03 00:00:00 +0200;Tuesday;15101;24;partly-cloudy-day;;7513;7588;14561;540;7216;7345;297;243;7039;4557;2482;8062;2956;5106;measured
Steinstraße, Moers;2025-06-04 00:00:00 +0200;Wednesday;12364;20;rain;;6201;6163;11897;467;5949;5948;252;215;5584;3551;2033;6780;2650;4130;measured
Steinstraße, Moers;2025-06-05 00:00:00 +0200;Thursday;12378;19;rain;;6138;6240;11931;447;5891;6040;247;200;5675;3504;2171;6703;2634;4069;measured
Steinstraße, Moers;2025-06-06 00:00:00 +0200;Friday;15688;21;rain;;7847;7841;15071;617;7512;7559;335;282;7159;4787;2372;8529;3060;5469;measured
Steinstraße, Moers;2025-06-07 00:00:00 +0200;Saturday;14774;17;rain;;7349;7425;14340;434;7112;7228;237;197;6772;4511;2261;8002;2838;5164;measured
Steinstraße, Moers;2025-06-08 00:00:00 +0200;Sunday;3096;15;rain;;1509;1587;3028;68;1479;1549;30;38;1283;805;478;1813;704;1109;measured
Steinstraße, Moers;2025-06-09 00:00:00 +0200;Monday;5933;19;partly-cloudy-day;;3055;2878;5685;248;2914;2771;141;107;2390;1615;775;3543;1440;2103;measured
Steinstraße, Moers;2025-06-10 00:00:00 +0200;Tuesday;14693;19;rain;;7238;7455;14217;476;6984;7233;254;222;6626;4242;2384;8067;2996;5071;measured
Steinstraße, Moers;2025-06-11 00:00:00 +0200;Wednesday;13825;21;partly-cloudy-day;;6963;6862;13308;517;6658;6650;305;212;5784;3735;2049;8041;3228;4813;measured
Steinstraße, Moers;2025-06-12 00:00:00 +0200;Thursday;13867;28;partly-cloudy-day;;6895;6972;13349;518;6612;6737;283;235;5373;3300;2073;8494;3595;4899;measured
Steinstraße, Moers;2025-06-13 00:00:00 +0200;Friday;13618;32;partly-cloudy-day;;6811;6807;13201;417;6608;6593;203;214;5929;3658;2271;7689;3153;4536;measured
Steinstraße, Moers;2025-06-14 00:00:00 +0200;Saturday;12036;31;rain;;6013;6023;11666;370;5819;5847;194;176;5154;3209;1945;6882;2804;4078;measured
Steinstraße, Moers;2025-06-15 00:00:00 +0200;Sunday;3744;23;rain;;1939;1805;3620;124;1871;1749;68;56;1481;966;515;2263;973;1290;measured
Steinstraße, Moers;2025-06-16 00:00:00 +0200;Monday;13988;24;partly-cloudy-day;;7034;6954;13438;550;6726;6712;308;242;6050;3852;2198;7938;3182;4756;measured
Steinstraße, Moers;2025-06-17 00:00:00 +0200;Tuesday;14512;27;partly-cloudy-day;;7216;7296;13936;576;6915;7021;301;275;6195;3873;2322;8317;3343;4974;measured
Steinstraße, Moers;2025-06-18 00:00:00 +0200;Wednesday;12949;27;partly-cloudy-day;;6546;6403;12474;475;6281;6193;265;210;5442;3411;2031;7507;3135;4372;measured
Steinstraße, Moers;2025-06-19 00:00:00 +0200;Thursday;4323;24;partly-cloudy-day;;2245;2078;4165;158;2167;1998;78;80;1537;981;556;2786;1264;1522;measured
Steinstraße, Moers;2025-06-20 00:00:00 +0200;Friday;19447;26;partly-cloudy-day;;9756;9691;18756;691;9383;9373;373;318;9026;5879;3147;10421;3877;6544;measured
Steinstraße, Moers;2025-06-21 00:00:00 +0200;Saturday;13178;31;partly-cloudy-day;;6712;6466;12796;382;6515;6281;197;185;5109;3196;1913;8069;3516;4553;measured
Steinstraße, Moers;2025-06-22 00:00:00 +0200;Sunday;2854;33;rain;;1427;1427;2747;107;1369;1378;58;49;931;579;352;1923;848;1075;measured
Steinstraße, Moers;2025-06-23 00:00:00 +0200;Monday;11407;22;rain;;5737;5670;11017;390;5518;5499;219;171;5083;3141;1942;6324;2596;3728;measured
Steinstraße, Moers;2025-06-24 00:00:00 +0200;Tuesday;13558;23;rain;;6789;6769;13003;555;6493;6510;296;259;6601;4086;2515;6957;2703;4254;measured
Steinstraße, Moers;2025-06-25 00:00:00 +0200;Wednesday;12797;29;rain;;6342;6455;12285;512;6072;6213;270;242;5293;3301;1992;7504;3041;4463;measured
Steinstraße, Moers;2025-06-26 00:00:00 +0200;Thursday;11862;24;rain;;5869;5993;11500;362;5675;5825;194;168;5602;3496;2106;6260;2373;3887;measured
