location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents;towards Neumarkt pedestrians count;towards Neuer Wall pedestrians count;adult pedestrians count;child pedestrians count;adult towards Neumarkt pedestrians count;adult towards Neuer Wall pedestrians count;child towards Neumarkt pedestrians count;child towards Neuer Wall pedestrians count;zone 1 pedestrians count;zone 1 towards Neumarkt pedestrians count;zone 1 towards Neuer Wall pedestrians count;zone 2 pedestrians count;zone 2 towards Neumarkt pedestrians count;zone 2 towards Neuer Wall pedestrians count;collection_type
Steinstraße, Moers;2026-01-01 00:00:00 +0100;Thursday;1852;4;rain;;884;968;1808;44;859;949;25;19;860;484;376;992;400;592;measured
Steinstraße, Moers;2026-01-02 00:00:00 +0100;Friday;12259;3;snow;;6101;6158;11948;311;5937;6011;164;147;6179;3796;2383;6080;2305;3775;measured
Steinstraße, Moers;2026-01-03 00:00:00 +0100;Saturday;11311;1;snow;;5566;5745;11078;233;5457;5621;109;124;5438;3411;2027;5873;2155;3718;measured
Steinstraße, Moers;2026-01-04 00:00:00 +0100;Sunday;2740;2;snow;;1386;1354;2682;58;1358;1324;28;30;1168;751;417;1572;635;937;measured
Steinstraße, Moers;2026-01-05 00:00:00 +0100;Monday;11625;0;snow;;5827;5798;11343;282;5659;5684;168;114;5837;3504;2333;5788;2323;3465;measured
Steinstraße, Moers;2026-01-06 00:00:00 +0100;Tuesday;13182;1;snow;;6524;6658;12825;357;6343;6482;181;176;6540;4020;2520;6642;2504;4138;measured
Steinstraße, Moers;2026-01-07 00:00:00 +0100;Wednesday;7238;0;snow;;3506;3732;7063;175;3420;3643;86;89;3615;2064;1551;3623;1442;2181;measured
Steinstraße, Moers;2026-01-08 00:00:00 +0100;Thursday;10514;3;rain;;5135;5379;10211;303;4985;5226;150;153;4989;2951;2038;5525;2184;3341;measured
Steinstraße, Moers;2026-01-09 00:00:00 +0100;Friday;7506;6;snow;;3654;3852;7341;165;3569;3772;85;80;3628;2051;1577;3878;1603;2275;measured
Steinstraße, Moers;2026-01-10 00:00:00 +0100;Saturday;12127;1;snow;;6042;6085;11819;308;5896;5923;146;162;5936;3660;2276;6191;2382;3809;measured
Steinstraße, Moers;2026-01-11 00:00:00 +0100;Sunday;3285;0;partly-cloudy-day;;1636;1649;3206;79;1602;1604;34;45;1291;781;510;1994;855;1139;measured
Steinstraße, Moers;2026-01-12 00:00:00 +0100;Monday;7858;8;snow;;3891;3967;7689;169;3806;3883;85;84;3702;2066;1636;4156;1825;2331;measured
Steinstraße, Moers;2026-01-13 00:00:00 +0100;Tuesday;12609;11;cloudy;;6193;6416;12253;356;6002;6251;191;165;5795;3483;2312;6814;2710;4104;measured
Steinstraße, Moers;2026-01-14 00:00:00 +0100;Wednesday;11457;10;rain;;5685;5772;11064;393;5485;5579;200;193;7908;4252;3656;3549;1433;2116;measured
Steinstraße, Moers;2026-01-15 00:00:00 +0100;Thursday;11532;11;rain;;5721;5811;11155;377;5521;5634;200;177;6698;4006;2692;4834;1715;3119;measured
Steinstraße, Moers;2026-01-16 00:00:00 +0100;Friday;13879;11;rain;;6860;7019;13441;438;6637;6804;223;215;6970;4279;2691;6909;2581;4328;measured
