location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents;towards Neumarkt pedestrians count;towards Neuer Wall pedestrians count;adult pedestrians count;child pedestrians count;adult towards Neumarkt pedestrians count;adult towards Neuer Wall pedestrians count;child towards Neumarkt pedestrians count;child towards Neuer Wall pedestrians count;zone 1 pedestrians count;zone 1 towards Neumarkt pedestrians count;zone 1 towards Neuer Wall pedestrians count;zone 2 pedestrians count;zone 2 towards Neumarkt pedestrians count;zone 2 towards Neuer Wall pedestrians count;collection_type
Steinstraße, Moers;2026-07-01 00:00:00 +0200;Wednesday;14360;26;clear-day;;7189;7171;13814;546;6889;6925;300;246;5945;3675;2270;8415;3514;4901;measured
Steinstraße, Moers;2026-07-02 00:00:00 +0200;Thursday;13037;24;rain;;6454;6583;12577;460;6217;6360;237;223;6216;3718;2498;6821;2736;4085;measured
Steinstraße, Moers;2026-07-03 00:00:00 +0200;Friday;17161;24;partly-cloudy-day;;8547;8614;16493;668;8208;8285;339;329;7918;5161;2757;9243;3386;5857;measured
Steinstraße, Moers;2026-07-04 00:00:00 +0200;Saturday;17725;27;partly-cloudy-day;;9048;8677;17126;599;8693;8433;355;244;7955;5288;2667;9770;3760;6010;measured
Steinstraße, Moers;2026-07-05 00:00:00 +0200;Sunday;22857;23;partly-cloudy-day;;12156;10701;21886;971;11620;10266;536;435;13301;10249;3052;9556;1907;7649;mixed
Steinstraße, Moers;2026-07-06 00:00:00 +0200;Monday;13482;28;partly-cloudy-day;;6758;6724;12994;488;6481;6513;277;211;5521;3505;2016;7961;3253;4708;measured
Steinstraße, Moers;2026-07-07 00:00:00 +0200;Tuesday;14583;28;partly-cloudy-day;;7260;7323;13990;593;6944;7046;316;277;6324;4012;2312;8259;3248;5011;mixed
Steinstraße, Moers;2026-07-08 00:00:00 +0200;Wednesday;13585;22;cloudy;;6731;6854;13124;461;6469;6655;262;199;6220;3995;2225;7365;2736;4629;mixed
Steinstraße, Moers;2026-07-09 00:00:00 +0200;Thursday;14859;25;partly-cloudy-day;;7443;7416;14175;684;7068;7107;375;309;6301;4072;2229;8558;3371;5187;mixed
Steinstraße, Moers;2026-07-10 00:00:00 +0200;Friday;16103;29;clear-day;;8129;7974;15584;519;7853;7731;276;243;6581;4202;2379;9522;3927;5595;mixed
Steinstraße, Moers;2026-07-11 00:00:00 +0200;Saturday;17038;31;clear-day;;8749;8289;16496;542;8448;8048;301;241;6585;4232;2353;10453;4517;5936;measured
Steinstraße, Moers;2026-07-12 00:00:00 +0200;Sunday;4481;31;clear-day;;2269;2212;4324;157;2181;2143;88;69;1236;756;480;3245;1513;1732;measured
Steinstraße, Moers;2026-07-13 00:00:00 +0200;Monday;13226;32;clear-day;;6577;6649;12752;474;6322;6430;255;219;5487;3352;2135;7739;3225;4514;measured
Steinstraße, Moers;2026-07-14 00:00:00 +0200;Tuesday;13551;30;clear-day;;6712;6839;13139;412;6483;6656;229;183;5362;3406;1956;8189;3306;4883;measured
Steinstraße, Moers;2026-07-15 00:00:00 +0200;Wednesday;13304;30;clear-day;;6672;6632;12914;390;6461;6453;211;179;5356;3359;1997;7948;3313;4635;mixed
Steinstraße, Moers;2026-07-16 00:00:00 +0200;Thursday;13269;29;clear-day;;6541;6728;12785;484;6276;6509;265;219;5735;3478;2257;7534;3063;4471;measured
Steinstraße, Moers;2026-07-17 00:00:00 +0200;Friday;16656;28;partly-cloudy-day;;8347;8309;15985;671;7970;8015;377;294;7097;4652;2445;9559;3695;5864;mixed
Steinstraße, Moers;2026-07-18 00:00:00 +0200;Saturday;16795;22;partly-cloudy-day;;8462;8333;16173;622;8131;8042;331;291;7588;5236;2352;9207;3226;5981;measured
Steinstraße, Moers;2026-07-19 00:00:00 +0200;Sunday;3814;22;partly-cloudy-day;;1965;1849;3686;128;1896;1790;69;59;1446;958;488;2368;1007;1361;measured
Steinstraße, Moers;2026-07-20 00:00:00 +0200;Monday;14342;21;partly-cloudy-day;;7127;7215;13735;607;6798;6937;329;278;6356;4144;2212;7986;2983;5003;measured
Steinstraße, Moers;2026-07-21 00:00:00 +0200;Tuesday;15854;24;clear-day;;7926;7928;15239;615;7607;7632;319;296;7005;4666;2339;8849;3260;5589;mixed
Steinstraße, Moers;2026-07-22 00:00:00 +0200;Wednesday;12687;21;partly-cloudy-day;;6270;6417;12149;538;5993;6156;277;261;5763;3534;2229;6924;2736;4188;mixed
Steinstraße, Moers;2026-07-23 00:00:00 +0200;Thursday;14059;23;partly-cloudy-day;;7037;7022;13495;564;6730;6765;307;257;5966;3886;2080;8093;3151;4942;measured
Steinstraße, Moers;2026-07-24 00:00:00 +0200;Friday;15960;24;partly-cloudy-day;;7973;7987;15281;679;7610;7671;363;316;7183;4764;2419;8777;3209;5568;mixed
Steinstraße, Moers;2026-07-25 00:00:00 +0200;Saturday;14429;29;partly-cloudy-day;;7416;7013;13947;482;7151;6796;265;217;5815;3978;1837;8614;3438;5176;measured
Steinstraße, Moers;2026-07-26 00:00:00 +0200;Sunday;3007;23;rain;;1543;1464;2915;92;1494;1421;49;43;1247;795;452;1760;748;1012;measured
Steinstraße, Moers;2026-07-27 00:00:00 +0200;Monday;13599;23;rain;;6855;6744;13079;520;6570;6509;285;235;6060;3979;2081;7539;2876;4663;measured
Steinstraße, Moers;2026-07-28 00:00:00 +0200;Tuesday;15503;29;clear-day;;8104;7399;14896;607;7759;7137;345;262;6435;4197;2238;9068;3907;5161;mixed
