Zeit;KOE Steinstraße IN;KOE Steinstraße OUT;Symbol Wetter;Temperatur ( °C);Regen (mm)
01-01-2025 00:00:00;0;2;Sonnig;6;0
01-01-2025 01:00:00;1;1;Leicht bewoelkt;6;0
01-01-2025 02:00:00;1;2;Leicht bewoelkt;6;0
01-01-2025 03:00:00;4;5;Sonnig;6;0
01-01-2025 04:00:00;1;2;Sonnig;6;0
01-01-2025 05:00:00;1;2;Sonnig;6;0
01-01-2025 06:00:00;0;0;Bedeckt;7;0
01-01-2025 07:00:00;0;0;Bedeckt;7;0
01-01-2025 08:00:00;0;0;Sonnig;7;0
01-01-2025 09:00:00;0;2;Bewoelkt;7;0
01-01-2025 10:00:00;2;1;Bewoelkt;7;0
01-01-2025 11:00:00;8;6;Bedeckt;8;0
01-01-2025 12:00:00;14;8;Bedeckt;8;0
01-01-2025 13:00:00;7;12;Bedeckt;8;0
01-01-2025 14:00:00;7;12;Bedeckt;9;0
01-01-2025 15:00:00;7;10;Bedeckt;9;0
01-01-2025 16:00:00;10;7;Bedeckt;9;0
01-01-2025 17:00:00;1;9;Bedeckt;9;0
01-01-2025 18:00:00;4;12;Bedeckt;9;0
01-01-2025 19:00:00;4;3;Bedeckt;9;0
01-01-2025 20:00:00;2;4;Bedeckt;9;0
01-01-2025 21:00:00;0;0;Stellenweiser Regenfall;9;0
01-01-2025 22:00:00;0;2;Nieselregen;8;0,6
01-01-2025 23:00:00;0;0;Leichter Regenfall;7;1,5
02-01-2025 00:00:00;2;1;Leichter Regenfall;6;2,1
02-01-2025 01:00:00;2;1;Leichter Regenfall;5;1,7
02-01-2025 02:00:00;0;0;Leichter Regenfall;5;1,7
02-01-2025 03:00:00;0;0;Leichter Regenfall;4;1
02-01-2025 04:00:00;0;0;Leichter Regenfall;4;1,1
02-01-2025 05:00:00;2;1;Nieselregen;4;0,6
02-01-2025 06:00:00;1;4;Nieselregen;4;0,4
02-01-2025 07:00:00;13;7;Nieselregen;4;0,2
02-01-2025 08:00:00;20;19;Nieselregen;4;0,4
02-01-2025 09:00:00;29;16;Stellenweiser Regenfall;4;0,1
02-01-2025 10:00:00;23;17;Bewoelkt;4;0
02-01-2025 11:00:00;23;23;Sonnig;5;0
02-01-2025 12:00:00;13;28;Leicht bewoelkt;5;0
02-01-2025 13:00:00;19;26;Sonnig;5;0
02-01-2025 14:00:00;17;42;Stellenweiser Regenfall;5;0,1
02-01-2025 15:00:00;25;37;Stellenweiser Regenfall;5;0,1
02-01-2025 16:00:00;21;43;Stellenweiser Eisregen;5;0,2
02-01-2025 17:00:00;19;47;Leicht bewoelkt;4;0
02-01-2025 18:00:00;21;27;Stellenweiser Regenfall;4;0,1
02-01-2025 19:00:00;17;27;Stellenweiser Regenfall;3;0
02-01-2025 20:00:00;6;14;Stellenweiser Regenfall;3;0,1
02-01-2025 21:00:00;1;7;Stellenweiser Regenfall;2;0
02-01-2025 22:00:00;2;2;Leicht bewoelkt;2;0
02-01-2025 23:00:00;0;0;Leicht bewoelkt;2;0
03-01-2025 00:00:00;2;0;Leichte Schneeschauer;1;0,1
03-01-2025 01:00:00;0;1;Leichter Schneefall;1;0
03-01-2025 02:00:00;0;0;Bewoelkt;1;0
03-01-2025 03:00:00;1;1;Leicht bewoelkt;1;0
03-01-2025 04:00:00;1;0;Leicht bewoelkt;1;0
03-01-2025 05:00:00;1;3;Leichter Eisregen;0;0
03-01-2025 06:00:00;5;2;Maeßige bis starke Schneefaelle;1;0,1
03-01-2025 07:00:00;6;8;Maeßige bis starke Schneefaelle;1;0,1
03-01-2025 08:00:00;13;16;Leichte Schneeschauer;1;0,1
03-01-2025 09:00:00;12;20;Stellenweise leichter Schneefall;1;0
03-01-2025 10:00:00;11;20;Leichte Schneeschauer;2;0,1
03-01-2025 11:00:00;16;48;Leicht bewoelkt;2;0
03-01-2025 12:00:00;13;44;Sonnig;3;0
03-01-2025 13:00:00;20;35;Sonnig;3;0
03-01-2025 14:00:00;7;42;Leicht bewoelkt;3;0
03-01-2025 15:00:00;24;40;Leichter Schneefall;3;0
03-01-2025 16:00:00;23;37;Maeßiger Schneefall;2;0,2
03-01-2025 17:00:00;20;28;Starker Schneefall;2;0,4
03-01-2025 18:00:00;13;22;Starker Schneefall;2;0,7
03-01-2025 19:00:00;12;8;Starker Schneefall;1;0,6
03-01-2025 20:00:00;6;5;Starker Schneefall;1;0,4
03-01-2025 21:00:00;5;5;Nebel;1;0
03-01-2025 22:00:00;4;2;Leichter Nebel;1;0
03-01-2025 23:00:00;1;2;Leichter Nebel;1;0
04-01-2025 00:00:00;1;2;Stellenweiser Regenfall;1;0
04-01-2025 01:00:00;0;0;Bewoelkt;1;0
04-01-2025 02:00:00;0;1;Leicht bewoelkt;1;0
04-01-2025 03:00:00;0;0;Leicht bewoelkt;1;0
04-01-2025 04:00:00;0;0;Leicht bewoelkt;1;0
04-01-2025 05:00:00;0;0;Leicht bewoelkt;1;0
04-01-2025 06:00:00;0;1;Leicht bewoelkt;1;0
04-01-2025 07:00:00;1;2;Leicht bewoelkt;1;0
04-01-2025 08:00:00;6;2;Leicht bewoelkt;1;0
04-01-2025 09:00:00;7;9;Leicht bewoelkt;1;0
04-01-2025 10:00:00;14;17;Leicht bewoelkt;1;0
04-01-2025 11:00:00;14;25;Leicht bewoelkt;1;0
04-01-2025 12:00:00;31;43;Bedeckt;2;0
04-01-2025 13:00:00;14;30;Bedeckt;2;0
04-01-2025 14:00:00;21;28;Bedeckt;2;0
04-01-2025 15:00:00;23;22;Bedeckt;2;0
04-01-2025 16:00:00;21;32;Bedeckt;2;0
04-01-2025 17:00:00;17;27;Bedeckt;2;0
04-01-2025 18:00:00;19;24;Bedeckt;2;0
04-01-2025 19:00:00;14;15;Bedeckt;2;0
04-01-2025 20:00:00;6;5;Bedeckt;1;0
04-01-2025 21:00:00;1;3;Leichter Schneefall;1;0
04-01-2025 22:00:00;9;1;Leichter Schneefall;1;0
04-01-2025 23:00:00;6;7;Maeßiger Schneefall;1;0,1
05-01-2025 00:00:00;1;3;Stellenweiser Regenfall;1;0,1
05-01-2025 01:00:00;0;1;Starker Schneefall;1;0,4
05-01-2025 02:00:00;2;2;Maeßiger Schneefall;1;0,2
05-01-2025 03:00:00;0;1;Starker Schneefall;1;0,7
05-01-2025 04:00:00;0;0;Starker Schneefall;0;1,3
05-01-2025 05:00:00;0;0;Starker Schneefall;0;1,6
05-01-2025 06:00:00;0;1;Leichter Eisregen;1;2,1
05-01-2025 07:00:00;0;0;Leichter Regenfall;1;1
05-01-2025 08:00:00;1;1;Leichter Regenfall;1;1,4
05-01-2025 09:00:00;0;2;Leichter Regenfall;2;1,3
05-01-2025 10:00:00;1;3;Maeßiger Regenfall;2;2,9
05-01-2025 11:00:00;4;1;Leichter Regenfall;4;0,8
05-01-2025 12:00:00;4;3;Leichter Regenfall;6;1,5
05-01-2025 13:00:00;4;4;Nieselregen;7;0,6
05-01-2025 14:00:00;1;7;Nieselregen;8;0,3
05-01-2025 15:00:00;4;5;Nieselregen;9;0,6
05-01-2025 16:00:00;3;2;Stellenweiser Regenfall;9;0
05-01-2025 17:00:00;3;4;Stellenweiser Regenfall;10;0
05-01-2025 18:00:00;7;3;Stellenweiser Regenfall;10;0
05-01-2025 19:00:00;4;11;Stellenweiser Regenfall;10;0,1
05-01-2025 20:00:00;1;5;Stellenweiser Regenfall;10;0
05-01-2025 21:00:00;2;0;Stellenweiser Regenfall;10;0
05-01-2025 22:00:00;2;1;Bedeckt;10;0
05-01-2025 23:00:00;2;3;Bedeckt;10;0
06-01-2025 00:00:00;1;1;Nieselregen;10;0,5
06-01-2025 01:00:00;0;1;Nieselregen;11;0,2
06-01-2025 02:00:00;0;0;Nieselregen;11;0,2
06-01-2025 03:00:00;1;0;Bedeckt;11;0
06-01-2025 04:00:00;0;0;Bedeckt;11;0
06-01-2025 05:00:00;1;2;Bedeckt;11;0
06-01-2025 06:00:00;8;4;Bewoelkt;11;0
06-01-2025 07:00:00;21;13;Bedeckt;11;0
06-01-2025 08:00:00;55;26;Bedeckt;11;0
06-01-2025 09:00:00;57;21;Bedeckt;11;0
06-01-2025 10:00:00;29;35;Bedeckt;11;0
06-01-2025 11:00:00;34;32;Stellenweiser Regenfall;12;0
06-01-2025 12:00:00;24;23;Stellenweise Gewitter und Niederschlaege;12;0
06-01-2025 13:00:00;23;39;Stellenweiser Regenfall;12;0
06-01-2025 14:00:00;43;40;Stellenweiser Regenfall;12;0
06-01-2025 15:00:00;35;35;Stellenweiser Regenfall;12;0
06-01-2025 16:00:00;44;43;Stellenweiser Regenfall;13;0
06-01-2025 17:00:00;42;36;Stellenweiser Regenfall;13;0
06-01-2025 18:00:00;39;43;Nieselregen;12;0,3
06-01-2025 19:00:00;16;37;Stellenweiser Regenfall;10;0,1
06-01-2025 20:00:00;19;20;Stellenweiser Regenfall;9;0,1
06-01-2025 21:00:00;20;5;Stellenweiser Regenfall;8;0,1
06-01-2025 22:00:00;8;9;Stellenweiser Regenfall;7;0,1
06-01-2025 23:00:00;5;1;Stellenweiser Regenfall;7;0
07-01-2025 00:00:00;2;0;Stellenweiser Regenfall;6;0,1
07-01-2025 01:00:00;2;1;Leichter Regenfall;5;0,8
07-01-2025 02:00:00;0;0;Nieselregen;5;0,5
07-01-2025 03:00:00;0;0;Leichter Eisregen;5;0,2
07-01-2025 04:00:00;1;0;Stellenweiser Regenfall;5;0,1
07-01-2025 05:00:00;0;3;Stellenweiser Regenfall;5;0
07-01-2025 06:00:00;9;2;Bewoelkt;5;0
07-01-2025 07:00:00;19;19;Bewoelkt;4;0
07-01-2025 08:00:00;64;31;Leichter Eisregen;4;0,2
07-01-2025 09:00:00;36;28;Leichter Eisregen;4;1,7
07-01-2025 10:00:00;37;22;Leichter Eisregen;4;0,4
07-01-2025 11:00:00;27;33;Nieselregen;4;0,5
07-01-2025 12:00:00;27;33;Stellenweise Gewitter und Niederschlaege;5;0
07-01-2025 13:00:00;33;33;Stellenweiser Regenfall;5;0,1
07-01-2025 14:00:00;45;50;Leichter Regenschauer;5;0,2
07-01-2025 15:00:00;37;41;Leichter Regenschauer;5;0,2
07-01-2025 16:00:00;36;24;Maeßiger bis starker Regen mit Gewitter;5;0,8
07-01-2025 17:00:00;40;42;Leichte Eisregen;3;0,2
07-01-2025 18:00:00;30;26;Leichte Schneeschauer;3;0,1
07-01-2025 19:00:00;18;34;Leichte Schneeschauer;3;0
07-01-2025 20:00:00;21;19;Leichter Schneefall;3;0
07-01-2025 21:00:00;9;8;Leichte Schneeschauer;3;0
07-01-2025 22:00:00;6;4;Bedeckt;3;0
07-01-2025 23:00:00;1;1;Stellenweiser Regenfall;3;0
08-01-2025 00:00:00;3;0;Leichte Schneeschauer;3;0
08-01-2025 01:00:00;1;2;Leichte Schneeschauer;3;0
08-01-2025 02:00:00;0;0;Bewoelkt;3;0
08-01-2025 03:00:00;2;0;Bedeckt;3;0
08-01-2025 04:00:00;0;0;Leichter Schneefall;2;0,1
08-01-2025 05:00:00;0;4;Starker Schneefall;2;2,4
08-01-2025 06:00:00;11;4;Starker Schneefall;2;2,2
08-01-2025 07:00:00;29;30;Starker Schneefall;2;1,6
08-01-2025 08:00:00;72;27;Leichter Schneefall;2;1,1
08-01-2025 09:00:00;70;29;Starker Schneefall;2;0,5
08-01-2025 10:00:00;36;35;Leichter Schneefall;2;0
08-01-2025 11:00:00;43;45;Leichter Nebel;2;0
08-01-2025 12:00:00;50;52;Leichter Schneefall;2;0
08-01-2025 13:00:00;38;47;Leichter Nebel;2;0
08-01-2025 14:00:00;46;35;Bedeckt;2;0
08-01-2025 15:00:00;54;65;Leichter Nebel;2;0
08-01-2025 16:00:00;46;50;Bedeckt;2;0
08-01-2025 17:00:00;63;54;Starker Schneefall;2;0,2
08-01-2025 18:00:00;43;55;Bedeckt;2;0,5
08-01-2025 19:00:00;31;28;Starker Schneefall;2;0,7
08-01-2025 20:00:00;13;26;Starker Schneefall;2;1,2
08-01-2025 21:00:00;14;16;Starker Schneefall;1;1,6
08-01-2025 22:00:00;4;5;Starker Schneefall;1;2,1
08-01-2025 23:00:00;5;1;Maeßiger Schneefall;1;1,4
09-01-2025 00:00:00;2;3;Leichter Regenfall;2;1,1
09-01-2025 01:00:00;0;0;Leichter Nebel;2;0,1
09-01-2025 02:00:00;0;0;Nieselregen;2;0,2
09-01-2025 03:00:00;0;0;Nebel;1;0,1
09-01-2025 04:00:00;2;1;Leichter Eisregen;1;0,2
09-01-2025 05:00:00;0;1;Starker Schneefall;1;0,4
09-01-2025 06:00:00;5;2;Starker Schneefall;1;0,7
09-01-2025 07:00:00;11;10;Maeßiger Schneefall;1;0,1
09-01-2025 08:00:00;30;13;Leichter Nebel;1;0
09-01-2025 09:00:00;17;16;Bewoelkt;1;0
09-01-2025 10:00:00;15;15;Bewoelkt;1;0
09-01-2025 11:00:00;6;11;Stellenweiser Regenfall;1;0
09-01-2025 12:00:00;7;15;Stellenweiser Regenfall;1;0
09-01-2025 13:00:00;11;18;Starker Schneefall;1;0,5
09-01-2025 14:00:00;11;13;Leichter Schneefall;1;0
09-01-2025 15:00:00;12;15;Bedeckt;1;0
09-01-2025 16:00:00;13;22;Leicht bewoelkt;1;0
09-01-2025 17:00:00;23;22;Leichter Nebel;1;0
09-01-2025 18:00:00;14;20;Leichte Schneeschauer;1;0
09-01-2025 19:00:00;9;24;Maeßige bis starke Schneefaelle;1;0,1
09-01-2025 20:00:00;5;12;Leichte Schneeschauer;1;0
09-01-2025 21:00:00;13;10;Sonnig;0;0
09-01-2025 22:00:00;3;4;Sonnig;0;0
09-01-2025 23:00:00;4;0;Leichter Eisregen;0;0
10-01-2025 00:00:00;0;0;Maeßige bis starke Schneefaelle;-1;0,2
10-01-2025 01:00:00;1;1;Leichte Schneeschauer;-1;0
10-01-2025 02:00:00;0;0;Sonnig;-1;0
10-01-2025 03:00:00;1;0;Bedeckt;-1;0
10-01-2025 04:00:00;1;0;Bedeckt;-1;0
10-01-2025 05:00:00;0;3;Leicht bewoelkt;-2;0
10-01-2025 06:00:00;5;3;Bewoelkt;-2;0
10-01-2025 07:00:00;12;13;Leicht bewoelkt;-2;0
10-01-2025 08:00:00;51;23;Leicht bewoelkt;-2;0
10-01-2025 09:00:00;25;18;Leicht bewoelkt;-2;0
10-01-2025 10:00:00;35;17;Leicht bewoelkt;-2;0
10-01-2025 11:00:00;24;35;Leicht bewoelkt;-1;0
10-01-2025 12:00:00;35;33;Sonnig;0;0
10-01-2025 13:00:00;33;38;Nebel;0;0
10-01-2025 14:00:00;30;27;Nebel;0;0
10-01-2025 15:00:00;38;30;Nebel;0;0
10-01-2025 16:00:00;41;39;Eisnebel;0;0
10-01-2025 17:00:00;39;41;Eisnebel;-1;0
10-01-2025 18:00:00;32;39;Eisnebel;-1;0
10-01-2025 19:00:00;19;28;Eisnebel;-1;0
10-01-2025 20:00:00;17;13;Eisnebel;-2;0
10-01-2025 21:00:00;10;6;Eisnebel;-2;0
10-01-2025 22:00:00;6;8;Sonnig;-3;0
10-01-2025 23:00:00;6;0;Eisnebel;-3;0
11-01-2025 00:00:00;2;3;Leichter Nebel;-3;0
11-01-2025 01:00:00;0;4;Leichter Nebel;-3;0
11-01-2025 02:00:00;5;0;Leichter Nebel;-3;0
11-01-2025 03:00:00;1;0;Leichter Nebel;-4;0
11-01-2025 04:00:00;1;0;Leichter Nebel;-4;0
11-01-2025 05:00:00;0;0;Leichter Nebel;-4;0
11-01-2025 06:00:00;0;0;Leichter Nebel;-4;0
11-01-2025 07:00:00;0;1;Leichter Nebel;-4;0
11-01-2025 08:00:00;9;8;Leichter Nebel;-4;0
11-01-2025 09:00:00;11;16;Leichter Nebel;-3;0
11-01-2025 10:00:00;16;21;Leichter Nebel;-2;0
11-01-2025 11:00:00;20;14;Leichter Nebel;-2;0
11-01-2025 12:00:00;24;33;Leichter Nebel;-1;0
11-01-2025 13:00:00;26;28;Leichter Nebel;-1;0
11-01-2025 14:00:00;24;17;Leichter Nebel;0;0
11-01-2025 15:00:00;30;20;Bewoelkt;-1;0
11-01-2025 16:00:00;26;24;Leichter Nebel;-1;0
11-01-2025 17:00:00;26;20;Leichter Nebel;-1;0
11-01-2025 18:00:00;22;14;Eisnebel;-2;0
11-01-2025 19:00:00;17;12;Eisnebel;-2;0
11-01-2025 20:00:00;5;10;Eisnebel;-2;0
11-01-2025 21:00:00;6;4;Eisnebel;-3;0
11-01-2025 22:00:00;4;3;Eisnebel;-3;0
11-01-2025 23:00:00;4;5;Eisnebel;-2;0
12-01-2025 00:00:00;2;4;Sonnig;-1;0
12-01-2025 01:00:00;0;0;Sonnig;-1;0
12-01-2025 02:00:00;4;0;Sonnig;-1;0
12-01-2025 03:00:00;1;1;Leicht bewoelkt;-1;0
12-01-2025 04:00:00;0;0;Leicht bewoelkt;-1;0
12-01-2025 05:00:00;0;0;Leicht bewoelkt;-1;0
12-01-2025 06:00:00;2;0;Leicht bewoelkt;-1;0
12-01-2025 07:00:00;0;0;Leicht bewoelkt;-1;0
12-01-2025 08:00:00;3;3;Bewoelkt;-1;0
12-01-2025 09:00:00;6;5;Bedeckt;0;0
12-01-2025 10:00:00;9;5;Bedeckt;0;0
12-01-2025 11:00:00;10;8;Bedeckt;1;0
12-01-2025 12:00:00;17;6;Bewoelkt;1;0
12-01-2025 13:00:00;8;9;Bedeckt;1;0
12-01-2025 14:00:00;18;16;Bedeckt;2;0
12-01-2025 15:00:00;19;15;Leicht bewoelkt;2;0
12-01-2025 16:00:00;14;25;Sonnig;1;0
12-01-2025 17:00:00;14;11;Leicht bewoelkt;1;0
12-01-2025 18:00:00;16;14;Leicht bewoelkt;1;0
12-01-2025 19:00:00;6;9;Leicht bewoelkt;1;0
12-01-2025 20:00:00;7;6;Leicht bewoelkt;1;0
12-01-2025 21:00:00;8;2;Leicht bewoelkt;0;0
12-01-2025 22:00:00;3;3;Leicht bewoelkt;0;0
12-01-2025 23:00:00;0;0;Sonnig;0;0
13-01-2025 00:00:00;1;1;Sonnig;-1;0
13-01-2025 01:00:00;1;1;Sonnig;-1;0
13-01-2025 02:00:00;0;0;Sonnig;-1;0
13-01-2025 03:00:00;2;0;Sonnig;-1;0
13-01-2025 04:00:00;1;0;Sonnig;-1;0
13-01-2025 05:00:00;2;2;Sonnig;-1;0
13-01-2025 06:00:00;14;12;Sonnig;-1;0
13-01-2025 07:00:00;26;11;Sonnig;-1;0
13-01-2025 08:00:00;79;37;Sonnig;-1;0
13-01-2025 09:00:00;49;37;Sonnig;-1;0
13-01-2025 10:00:00;35;30;Sonnig;0;0
13-01-2025 11:00:00;38;36;Sonnig;1;0
13-01-2025 12:00:00;34;33;Sonnig;1;0
13-01-2025 13:00:00;38;43;Sonnig;2;0
13-01-2025 14:00:00;32;57;Sonnig;2;0
13-01-2025 15:00:00;50;27;Sonnig;1;0
13-01-2025 16:00:00;58;54;Sonnig;0;0
13-01-2025 17:00:00;58;56;Sonnig;0;0
13-01-2025 18:00:00;53;58;Sonnig;0;0
13-01-2025 19:00:00;25;38;Sonnig;-1;0
13-01-2025 20:00:00;17;17;Sonnig;-1;0
13-01-2025 21:00:00;13;20;Sonnig;-1;0
13-01-2025 22:00:00;17;8;Sonnig;-1;0
13-01-2025 23:00:00;0;2;Sonnig;-1;0
14-01-2025 00:00:00;3;0;Sonnig;-1;0
14-01-2025 01:00:00;1;1;Sonnig;-1;0
14-01-2025 02:00:00;2;0;Leicht bewoelkt;-1;0
14-01-2025 03:00:00;0;0;Leicht bewoelkt;-1;0
14-01-2025 04:00:00;1;2;Bedeckt;-1;0
14-01-2025 05:00:00;1;3;Bedeckt;-1;0
14-01-2025 06:00:00;13;7;Bedeckt;-1;0
14-01-2025 07:00:00;47;19;Leicht bewoelkt;-1;0
14-01-2025 08:00:00;77;28;Bewoelkt;-1;0
14-01-2025 09:00:00;43;30;Leicht bewoelkt;-1;0
14-01-2025 10:00:00;33;18;Leicht bewoelkt;0;0
14-01-2025 11:00:00;26;29;Sonnig;1;0
14-01-2025 12:00:00;33;54;Sonnig;1;0
14-01-2025 13:00:00;45;35;Leicht bewoelkt;2;0
14-01-2025 14:00:00;29;41;Bedeckt;1;0
14-01-2025 15:00:00;32;38;Stellenweiser Regenfall;1;0
14-01-2025 16:00:00;41;38;Bedeckt;1;0
14-01-2025 17:00:00;42;54;Bedeckt;1;0
14-01-2025 18:00:00;41;57;Bedeckt;1;0
14-01-2025 19:00:00;29;48;Bedeckt;1;0
14-01-2025 20:00:00;22;26;Bedeckt;1;0
14-01-2025 21:00:00;10;16;Leichter Nebel;1;0
14-01-2025 22:00:00;13;2;Nebel;1;0
14-01-2025 23:00:00;3;1;Nebel;1;0
15-01-2025 00:00:00;8;1;Nebel;1;0
15-01-2025 01:00:00;0;4;Nebel;1;0
15-01-2025 02:00:00;0;0;Nebel;1;0
15-01-2025 03:00:00;0;0;Nebel;1;0,1
15-01-2025 04:00:00;2;0;Nebel;2;0,1
15-01-2025 05:00:00;0;3;Nebel;2;0
15-01-2025 06:00:00;13;7;Nebel;2;0,1
15-01-2025 07:00:00;30;21;Nebel;2;0
15-01-2025 08:00:00;77;27;Nebel;2;0
15-01-2025 09:00:00;51;34;Nebel;2;0
15-01-2025 10:00:00;37;34;Nebel;3;0
15-01-2025 11:00:00;27;20;Nebel;3;0
15-01-2025 12:00:00;21;41;Nebel;4;0
15-01-2025 13:00:00;38;35;Leichter Nebel;4;0
15-01-2025 14:00:00;42;36;Nebel;4;0
15-01-2025 15:00:00;47;41;Nebel;4;0
15-01-2025 16:00:00;46;38;Leichter Nebel;4;0
15-01-2025 17:00:00;51;48;Leichter Nebel;4;0
15-01-2025 18:00:00;38;61;Bewoelkt;4;0
15-01-2025 19:00:00;26;49;Bewoelkt;4;0
15-01-2025 20:00:00;19;10;Bewoelkt;4;0
15-01-2025 21:00:00;8;12;Bewoelkt;4;0
15-01-2025 22:00:00;9;6;Bewoelkt;4;0
15-01-2025 23:00:00;5;2;Bewoelkt;3;0
16-01-2025 00:00:00;0;1;Leichter Nebel;2;0
16-01-2025 01:00:00;1;2;Leichter Nebel;2;0
16-01-2025 02:00:00;0;0;Sonnig;2;0
16-01-2025 03:00:00;1;1;Sonnig;2;0
16-01-2025 04:00:00;0;0;Leichter Nebel;1;0
16-01-2025 05:00:00;1;1;Leichter Nebel;1;0
16-01-2025 06:00:00;14;8;Leichter Nebel;1;0
16-01-2025 07:00:00;39;20;Nebel;1;0
16-01-2025 08:00:00;75;37;Nebel;1;0
16-01-2025 09:00:00;42;13;Nebel;1;0
16-01-2025 10:00:00;31;33;Leichter Nebel;2;0
16-01-2025 11:00:00;46;38;Leicht bewoelkt;3;0
16-01-2025 12:00:00;28;33;Sonnig;4;0
16-01-2025 13:00:00;37;46;Sonnig;4;0
16-01-2025 14:00:00;51;33;Sonnig;5;0
16-01-2025 15:00:00;42;61;Sonnig;5;0
16-01-2025 16:00:00;51;42;Sonnig;4;0
16-01-2025 17:00:00;45;45;Sonnig;3;0
16-01-2025 18:00:00;50;49;Sonnig;3;0
16-01-2025 19:00:00;30;42;Sonnig;3;0
16-01-2025 20:00:00;23;32;Sonnig;2;0
16-01-2025 21:00:00;11;17;Sonnig;2;0
16-01-2025 22:00:00;15;9;Sonnig;2;0
16-01-2025 23:00:00;6;2;Sonnig;1;0
17-01-2025 00:00:00;3;0;Sonnig;1;0
17-01-2025 01:00:00;4;1;Sonnig;1;0
17-01-2025 02:00:00;0;1;Sonnig;1;0
17-01-2025 03:00:00;0;0;Sonnig;1;0
17-01-2025 04:00:00;2;0;Sonnig;1;0
17-01-2025 05:00:00;0;2;Sonnig;0;0
17-01-2025 06:00:00;10;4;Sonnig;0;0
17-01-2025 07:00:00;26;16;Sonnig;0;0
17-01-2025 08:00:00;57;40;Sonnig;0;0
17-01-2025 09:00:00;48;30;Sonnig;1;0
17-01-2025 10:00:00;44;24;Sonnig;2;0
17-01-2025 11:00:00;45;36;Sonnig;3;0
17-01-2025 12:00:00;44;44;Sonnig;4;0
17-01-2025 13:00:00;52;59;Sonnig;5;0
17-01-2025 14:00:00;33;40;Sonnig;5;0
17-01-2025 15:00:00;48;49;Sonnig;5;0
17-01-2025 16:00:00;38;54;Sonnig;4;0
17-01-2025 17:00:00;38;66;Sonnig;3;0
17-01-2025 18:00:00;34;46;Sonnig;3;0
17-01-2025 19:00:00;28;31;Sonnig;3;0
17-01-2025 20:00:00;20;10;Sonnig;2;0
17-01-2025 21:00:00;16;17;Sonnig;2;0
17-01-2025 22:00:00;15;7;Sonnig;2;0
17-01-2025 23:00:00;14;2;Sonnig;2;0
18-01-2025 00:00:00;0;1;Sonnig;1;0
18-01-2025 01:00:00;5;2;Sonnig;1;0
18-01-2025 02:00:00;1;0;Sonnig;1;0
18-01-2025 03:00:00;1;2;Sonnig;1;0
18-01-2025 04:00:00;0;0;Sonnig;1;0
18-01-2025 05:00:00;1;0;Sonnig;1;0
18-01-2025 06:00:00;0;0;Sonnig;1;0
18-01-2025 07:00:00;6;2;Sonnig;1;0
18-01-2025 08:00:00;12;6;Sonnig;1;0
18-01-2025 09:00:00;21;10;Sonnig;1;0
18-01-2025 10:00:00;26;24;Sonnig;2;0
18-01-2025 11:00:00;20;30;Sonnig;3;0
18-01-2025 12:00:00;38;47;Sonnig;4;0
18-01-2025 13:00:00;25;34;Sonnig;5;0
18-01-2025 14:00:00;35;31;Sonnig;5;0
18-01-2025 15:00:00;34;40;Sonnig;5;0
18-01-2025 16:00:00;21;30;Sonnig;4;0
18-01-2025 17:00:00;28;22;Sonnig;4;0
18-01-2025 18:00:00;38;21;Sonnig;4;0
18-01-2025 19:00:00;23;24;Sonnig;4;0
18-01-2025 20:00:00;8;11;Sonnig;3;0
18-01-2025 21:00:00;5;13;Sonnig;3;0
18-01-2025 22:00:00;14;3;Sonnig;3;0
18-01-2025 23:00:00;7;8;Sonnig;2;0
19-01-2025 00:00:00;4;4;Sonnig;2;0
19-01-2025 01:00:00;2;2;Sonnig;2;0
19-01-2025 02:00:00;4;2;Sonnig;2;0
19-01-2025 03:00:00;2;1;Sonnig;2;0
19-01-2025 04:00:00;3;3;Sonnig;1;0
19-01-2025 05:00:00;4;0;Sonnig;1;0
19-01-2025 06:00:00;0;0;Sonnig;1;0
19-01-2025 07:00:00;2;0;Sonnig;1;0
19-01-2025 08:00:00;3;0;Sonnig;1;0
19-01-2025 09:00:00;22;12;Sonnig;1;0
19-01-2025 10:00:00;16;8;Sonnig;2;0
19-01-2025 11:00:00;11;17;Sonnig;3;0
19-01-2025 12:00:00;16;19;Sonnig;4;0
19-01-2025 13:00:00;17;15;Sonnig;4;0
19-01-2025 14:00:00;13;14;Sonnig;5;0
19-01-2025 15:00:00;13;29;Sonnig;4;0
19-01-2025 16:00:00;16;18;Sonnig;4;0
19-01-2025 17:00:00;22;20;Sonnig;3;0
19-01-2025 18:00:00;14;19;Sonnig;2;0
19-01-2025 19:00:00;10;5;Sonnig;2;0
19-01-2025 20:00:00;4;9;Sonnig;2;0
19-01-2025 21:00:00;10;4;Sonnig;1;0
19-01-2025 22:00:00;4;3;Sonnig;1;0
19-01-2025 23:00:00;0;0;Sonnig;0;0
20-01-2025 00:00:00;1;0;Sonnig;0;0
20-01-2025 01:00:00;0;1;Sonnig;0;0
20-01-2025 02:00:00;1;0;Sonnig;0;0
20-01-2025 03:00:00;0;1;Sonnig;0;0
20-01-2025 04:00:00;0;0;Sonnig;0;0
20-01-2025 05:00:00;0;2;Leicht bewoelkt;0;0
20-01-2025 06:00:00;13;10;Bewoelkt;0;0
20-01-2025 07:00:00;29;16;Bedeckt;0;0
20-01-2025 08:00:00;75;35;Leicht bewoelkt;0;0
20-01-2025 09:00:00;53;25;Sonnig;0;0
