location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents;towards Neumarkt pedestrians count;towards Neuer Wall pedestrians count;adult pedestrians count;child pedestrians count;adult towards Neumarkt pedestrians count;adult towards Neuer Wall pedestrians count;child towards Neumarkt pedestrians count;child towards Neuer Wall pedestrians count;zone 1 pedestrians count;zone 1 towards Neumarkt pedestrians count;zone 1 towards Neuer Wall pedestrians count;zone 2 pedestrians count;zone 2 towards Neumarkt pedestrians count;zone 2 towards Neuer Wall pedestrians count;collection_type
Steinstraße, Moers;2025-03-01 00:00:00 +0100;Saturday;11154;5;partly-cloudy-day;;5615;5539;10892;262;5476;5416;139;123;5133;3286;1847;6021;2329;3692;measured
Steinstraße, Moers;2025-03-02 00:00:00 +0100;Sunday;5332;10;partly-cloudy-day;;2727;2605;5160;172;2637;2523;90;82;2309;1531;778;3023;1196;1827;measured
Steinstraße, Moers;2025-03-03 00:00:00 +0100;Monday;13890;12;clear-day;;6941;6949;13278;612;6602;6676;339;273;6374;4207;2167;7516;2734;4782;measured
Steinstraße, Moers;2025-03-04 00:00:00 +0100;Tuesday;16265;14;partly-cloudy-day;;8125;8140;15697;568;7815;7882;310;258;7421;4894;2527;8844;3231;5613;measured
Steinstraße, Moers;2025-03-05 00:00:00 +0100;Wednesday;13746;16;clear-day;;6948;6798;13244;502;6673;6571;275;227;5755;3726;2029;7991;3222;4769;measured
Steinstraße, Moers;2025-03-06 00:00:00 +0100;Thursday;12011;19;clear-day;;6017;5994;11562;449;5782;5780;235;214;4821;3126;1695;7190;2891;4299;measured
Steinstraße, Moers;2025-03-07 00:00:00 +0100;Friday;17726;19;partly-cloudy-day;;8742;8984;17023;703;8370;8653;372;331;7007;4150;2857;10719;4592;6127;measured
Steinstraße, Moers;2025-03-08 00:00:00 +0100;Saturday;22113;19;clear-day;;11019;11094;21288;825;10580;10708;439;386;8772;6331;2441;13341;4688;8653;measured
Steinstraße, Moers;2025-03-09 00:00:00 +0100;Sunday;6240;18;partly-cloudy-day;;3082;3158;6026;214;2970;3056;112;102;2110;1456;654;4130;1626;2504;measured
Steinstraße, Moers;2025-03-10 00:00:00 +0100;Monday;14159;18;clear-day;;7089;7070;13641;518;6814;6827;275;243;5694;3601;2093;8465;3488;4977;measured
Steinstraße, Moers;2025-03-11 00:00:00 +0100;Tuesday;11733;7;rain;;5953;5780;11386;347;5764;5622;189;158;5288;3224;2064;6445;2729;3716;measured
Steinstraße, Moers;2025-03-12 00:00:00 +0100;Wednesday;10761;8;rain;;5328;5433;10348;413;5112;5236;216;197;4706;2887;1819;6055;2441;3614;measured
Steinstraße, Moers;2025-03-13 00:00:00 +0100;Thursday;11908;7;rain;;5924;5984;11542;366;5719;5823;205;161;5371;3349;2022;6537;2575;3962;measured
Steinstraße, Moers;2025-03-14 00:00:00 +0100;Friday;15385;7;rain;;7632;7753;14842;543;7365;7477;267;276;7461;4712;2749;7924;2920;5004;measured
Steinstraße, Moers;2025-03-15 00:00:00 +0100;Saturday;18537;8;partly-cloudy-day;;9162;9375;17841;696;8778;9063;384;312;8319;5613;2706;10218;3549;6669;measured
Steinstraße, Moers;2025-03-16 00:00:00 +0100;Sunday;4884;10;partly-cloudy-day;;2415;2469;4731;153;2336;2395;79;74;2152;1372;780;2732;1043;1689;measured
Steinstraße, Moers;2025-03-17 00:00:00 +0100;Monday;12092;10;partly-cloudy-day;;6023;6069;11722;370;5830;5892;193;177;5445;3385;2060;6647;2638;4009;measured
Steinstraße, Moers;2025-03-18 00:00:00 +0100;Tuesday;14107;12;clear-day;;7083;7024;13629;478;6833;6796;250;228;6496;4350;2146;7611;2733;4878;measured
Steinstraße, Moers;2025-03-19 00:00:00 +0100;Wednesday;13435;18;clear-day;;6751;6684;12894;541;6470;6424;281;260;5756;3840;1916;7679;2911;4768;measured
