location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents;towards Neumarkt pedestrians count;towards Neuer Wall pedestrians count;adult pedestrians count;child pedestrians count;adult towards Neumarkt pedestrians count;adult towards Neuer Wall pedestrians count;child towards Neumarkt pedestrians count;child towards Neuer Wall pedestrians count;zone 1 pedestrians count;zone 1 towards Neumarkt pedestrians count;zone 1 towards Neuer Wall pedestrians count;zone 2 pedestrians count;zone 2 towards Neumarkt pedestrians count;zone 2 towards Neuer Wall pedestrians count;collection_type
Steinstraße, Moers;2026-03-01 00:00:00 +0100;Sunday;5136;14;rain;;2580;2556;4933;203;2469;2464;111;92;2068;1339;729;3068;1241;1827;measured
Steinstraße, Moers;2026-03-02 00:00:00 +0100;Monday;14859;16;clear-day;;7510;7349;14310;549;7203;7107;307;242;6692;4372;2320;8167;3138;5029;measured
Steinstraße, Moers;2026-03-03 00:00:00 +0100;Tuesday;16104;17;clear-day;;8014;8090;15433;671;7654;7779;360;311;8013;5140;2873;8091;2874;5217;measured
Steinstraße, Moers;2026-03-04 00:00:00 +0100;Wednesday;14529;17;clear-day;;7190;7339;13935;594;6872;7063;318;276;6848;4357;2491;7681;2833;4848;measured
Steinstraße, Moers;2026-03-05 00:00:00 +0100;Thursday;15026;18;clear-day;;7506;7520;14417;609;7189;7228;317;292;6998;4448;2550;8028;3058;4970;mixed
Steinstraße, Moers;2026-03-06 00:00:00 +0100;Friday;17370;18;clear-day;;8753;8617;16732;638;8397;8335;356;282;8560;5635;2925;8810;3118;5692;measured
Steinstraße, Moers;2026-03-07 00:00:00 +0100;Saturday;20721;18;partly-cloudy-day;;10518;10203;19970;751;10119;9851;399;352;9608;6754;2854;11113;3764;7349;measured
Steinstraße, Moers;2026-03-08 00:00:00 +0100;Sunday;5536;19;clear-day;;2830;2706;5273;263;2690;2583;140;123;2436;1621;815;3100;1209;1891;measured
Steinstraße, Moers;2026-03-09 00:00:00 +0100;Monday;13854;18;clear-day;;6862;6992;13267;587;6548;6719;314;273;6308;3983;2325;7546;2879;4667;measured
Steinstraße, Moers;2026-03-10 00:00:00 +0100;Tuesday;13410;17;rain;;6572;6838;12894;516;6289;6605;283;233;6305;3920;2385;7105;2652;4453;mixed
Steinstraße, Moers;2026-03-11 00:00:00 +0100;Wednesday;6194;11;rain;;3023;3171;6037;157;2941;3096;82;75;2863;1655;1208;3331;1368;1963;measured
Steinstraße, Moers;2026-03-12 00:00:00 +0100;Thursday;13689;12;rain;;6748;6941;13192;497;6504;6688;244;253;6243;3906;2337;7446;2842;4604;measured
Steinstraße, Moers;2026-03-13 00:00:00 +0100;Friday;7835;12;rain;;3862;3973;7626;209;3758;3868;104;105;3789;2254;1535;4046;1608;2438;measured
Steinstraße, Moers;2026-03-14 00:00:00 +0100;Saturday;9645;5;rain;;4752;4893;9397;248;4620;4777;132;116;4732;2840;1892;4913;1912;3001;measured
Steinstraße, Moers;2026-03-15 00:00:00 +0100;Sunday;4424;10;rain;;2322;2102;4290;134;2248;2042;74;60;1941;1242;699;2483;1080;1403;measured
Steinstraße, Moers;2026-03-16 00:00:00 +0100;Monday;11273;11;rain;;5542;5731;10906;367;5347;5559;195;172;5208;3201;2007;6065;2341;3724;mixed
Steinstraße, Moers;2026-03-17 00:00:00 +0100;Tuesday;12759;13;rain;;6395;6364;12293;466;6135;6158;260;206;5997;3765;2232;6762;2630;4132;measured
Steinstraße, Moers;2026-03-18 00:00:00 +0100;Wednesday;14993;16;clear-day;;7563;7430;14374;619;7218;7156;345;274;7118;4565;2553;7875;2998;4877;measured
Steinstraße, Moers;2026-03-19 00:00:00 +0100;Thursday;14799;17;clear-day;;7412;7387;14124;675;7051;7073;361;314;6881;4409;2472;7918;3003;4915;measured
Steinstraße, Moers;2026-03-20 00:00:00 +0100;Friday;16759;15;partly-cloudy-day;;8326;8433;16157;602;8021;8136;305;297;8357;5420;2937;8402;2906;5496;measured
Steinstraße, Moers;2026-03-21 00:00:00 +0100;Saturday;19282;14;clear-day;;9643;9639;18581;701;9254;9327;389;312;9037;6203;2834;10245;3440;6805;measured
Steinstraße, Moers;2026-03-22 00:00:00 +0100;Sunday;33883;16;clear-day;;17760;16123;32582;1301;17032;15550;728;573;16226;14218;2008;17657;3542;14115;mixed
Steinstraße, Moers;2026-03-23 00:00:00 +0100;Monday;13215;16;partly-cloudy-day;;6598;6617;12741;474;6337;6404;261;213;5872;3733;2139;7343;2865;4478;measured
Steinstraße, Moers;2026-03-24 00:00:00 +0100;Tuesday;14293;17;cloudy;;7024;7269;13759;534;6758;7001;266;268;6906;4347;2559;7387;2677;4710;measured
Steinstraße, Moers;2026-03-25 00:00:00 +0100;Wednesday;7811;13;rain;;3848;3963;7611;200;3743;3868;105;95;3676;2151;1525;4135;1697;2438;measured
Steinstraße, Moers;2026-03-26 00:00:00 +0100;Thursday;10336;7;rain;;5147;5189;10091;245;5025;5066;122;123;5024;2995;2029;5312;2152;3160;measured
