location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents;towards Neumarkt pedestrians count;towards Neuer Wall pedestrians count;adult pedestrians count;child pedestrians count;adult towards Neumarkt pedestrians count;adult towards Neuer Wall pedestrians count;child towards Neumarkt pedestrians count;child towards Neuer Wall pedestrians count;zone 1 pedestrians count;zone 1 towards Neumarkt pedestrians count;zone 1 towards Neuer Wall pedestrians count;zone 2 pedestrians count;zone 2 towards Neumarkt pedestrians count;zone 2 towards Neuer Wall pedestrians count;collection_type
Steinstraße, Moers;2025-12-01 00:00:00 +0100;Monday;17577;7;rain;;8866;8711;17047;530;8565;8482;301;229;7459;4753;2706;10118;4113;6005;measured
Steinstraße, Moers;2025-12-02 00:00:00 +0100;Tuesday;16426;7;rain;;8168;8258;15923;503;7911;8012;257;246;7225;4575;2650;9201;3593;5608;measured
Steinstraße, Moers;2025-12-03 00:00:00 +0100;Wednesday;16967;8;rain;;8600;8367;16389;578;8295;8094;305;273;7507;4880;2627;9460;3720;5740;measured
Steinstraße, Moers;2025-12-04 00:00:00 +0100;Thursday;18256;7;rain;;9289;8967;17657;599;8962;8695;327;272;8385;5381;3004;9871;3908;5963;mixed
Steinstraße, Moers;2025-12-05 00:00:00 +0100;Friday;22571;7;rain;;11422;11149;21907;664;11075;10832;347;317;10049;6739;3310;12522;4683;7839;measured
Steinstraße, Moers;2025-12-06 00:00:00 +0100;Saturday;18894;10;rain;;9842;9052;18264;630;9498;8766;344;286;8488;5833;2655;10406;4009;6397;measured
Steinstraße, Moers;2025-12-07 00:00:00 +0100;Sunday;5143;14;rain;;2787;2356;4942;201;2670;2272;117;84;1934;1312;622;3209;1475;1734;measured
Steinstraße, Moers;2025-12-08 00:00:00 +0100;Monday;12245;15;rain;;6033;6212;11901;344;5862;6039;171;173;5707;3432;2275;6538;2601;3937;measured
Steinstraße, Moers;2025-12-09 00:00:00 +0100;Tuesday;19721;15;rain;;10000;9721;19039;682;9625;9414;375;307;9251;6058;3193;10470;3942;6528;measured
Steinstraße, Moers;2025-12-10 00:00:00 +0100;Wednesday;17671;13;rain;;8877;8794;16990;681;8531;8459;346;335;7584;4964;2620;10087;3913;6174;mixed
