location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents;towards Neumarkt pedestrians count;towards Neuer Wall pedestrians count;adult pedestrians count;child pedestrians count;adult towards Neumarkt pedestrians count;adult towards Neuer Wall pedestrians count;child towards Neumarkt pedestrians count;child towards Neuer Wall pedestrians count;zone 1 pedestrians count;zone 1 towards Neumarkt pedestrians count;zone 1 towards Neuer Wall pedestrians count;zone 2 pedestrians count;zone 2 towards Neumarkt pedestrians count;zone 2 towards Neuer Wall pedestrians count;collection_type
Steinstraße, Moers;2026-04-01 00:00:00 +0200;Wednesday;17043;13;clear-day;;8562;8481;16384;659;8220;8164;342;317;7645;5085;2560;9398;3477;5921;measured
Steinstraße, Moers;2026-04-02 00:00:00 +0200;Thursday;14319;11;rain;;7097;7222;13859;460;6864;6995;233;227;6908;4284;2624;7411;2813;4598;measured
Steinstraße, Moers;2026-04-03 00:00:00 +0200;Friday;4020;13;rain;;2092;1928;3867;153;2008;1859;84;69;1708;1107;601;2312;985;1327;measured
Steinstraße, Moers;2026-04-04 00:00:00 +0200;Saturday;18469;15;rain;;9224;9245;17833;636;8858;8975;366;270;8545;5904;2641;9924;3320;6604;measured
Steinstraße, Moers;2026-04-05 00:00:00 +0200;Sunday;2431;15;rain;;1270;1161;2360;71;1229;1131;41;30;1095;687;408;1336;583;753;mixed
Steinstraße, Moers;2026-04-06 00:00:00 +0200;Monday;5307;14;partly-cloudy-day;;2661;2646;5123;184;2556;2567;105;79;2337;1500;837;2970;1161;1809;measured
Steinstraße, Moers;2026-04-07 00:00:00 +0200;Tuesday;17829;17;clear-day;;8925;8904;17154;675;8560;8594;365;310;9162;5883;3279;8667;3042;5625;measured
Steinstraße, Moers;2026-04-08 00:00:00 +0200;Wednesday;16610;20;partly-cloudy-day;;8314;8296;15881;729;7924;7957;390;339;7510;4915;2595;9100;3399;5701;measured
Steinstraße, Moers;2026-04-09 00:00:00 +0200;Thursday;15319;21;rain;;7681;7638;14680;639;7339;7341;342;297;6773;4551;2222;8546;3130;5416;measured
Steinstraße, Moers;2026-04-10 00:00:00 +0200;Friday;18159;16;rain;;9030;9129;17559;600;8706;8853;324;276;9260;5924;3336;8899;3106;5793;measured
Steinstraße, Moers;2026-04-11 00:00:00 +0200;Saturday;20815;19;rain;;10634;10181;20181;634;10271;9910;363;271;9840;6920;2920;10975;3714;7261;measured
Steinstraße, Moers;2026-04-12 00:00:00 +0200;Sunday;35991;13;rain;;18120;17871;34358;1633;17232;17126;888;745;15847;13845;2002;20144;4275;15869;mixed
Steinstraße, Moers;2026-04-13 00:00:00 +0200;Monday;9396;11;rain;;4605;4791;9088;308;4454;4634;151;157;4341;2616;1725;5055;1989;3066;measured
Steinstraße, Moers;2026-04-14 00:00:00 +0200;Tuesday;14757;16;rain;;7272;7485;14152;605;6947;7205;325;280;7174;4717;2457;7583;2555;5028;measured
Steinstraße, Moers;2026-04-15 00:00:00 +0200;Wednesday;13490;19;partly-cloudy-day;;6729;6761;12900;590;6401;6499;328;262;6168;4051;2117;7322;2678;4644;measured
Steinstraße, Moers;2026-04-16 00:00:00 +0200;Thursday;13021;18;rain;;6432;6589;12594;427;6194;6400;238;189;5858;3819;2039;7163;2613;4550;measured
Steinstraße, Moers;2026-04-17 00:00:00 +0200;Friday;16810;20;partly-cloudy-day;;8357;8453;16261;549;8064;8197;293;256;7848;5256;2592;8962;3101;5861;measured
Steinstraße, Moers;2026-04-18 00:00:00 +0200;Saturday;17566;19;rain;;8875;8691;16949;617;8556;8393;319;298;7497;5196;2301;10069;3679;6390;measured
Steinstraße, Moers;2026-04-19 00:00:00 +0200;Sunday;4154;15;rain;;2135;2019;4007;147;2048;1959;87;60;1904;1164;740;2250;971;1279;mixed
Steinstraße, Moers;2026-04-20 00:00:00 +0200;Monday;12295;13;partly-cloudy-day;;6004;6291;11864;431;5774;6090;230;201;5674;3509;2165;6621;2495;4126;measured
Steinstraße, Moers;2026-04-21 00:00:00 +0200;Tuesday;14050;15;partly-cloudy-day;;6926;7124;13567;483;6671;6896;255;228;6566;4161;2405;7484;2765;4719;mixed
Steinstraße, Moers;2026-04-22 00:00:00 +0200;Wednesday;13566;17;clear-day;;6686;6880;13034;532;6407;6627;279;253;6185;3937;2248;7381;2749;4632;measured
Steinstraße, Moers;2026-04-23 00:00:00 +0200;Thursday;13983;18;clear-day;;6916;7067;13445;538;6641;6804;275;263;6526;4114;2412;7457;2802;4655;measured
Steinstraße, Moers;2026-04-24 00:00:00 +0200;Friday;16283;18;clear-day;;7973;8310;15707;576;7680;8027;293;283;8254;5256;2998;8029;2717;5312;measured
Steinstraße, Moers;2026-04-25 00:00:00 +0200;Saturday;17695;18;partly-cloudy-day;;8985;8710;17076;619;8635;8441;350;269;8377;5796;2581;9318;3189;6129;measured
Steinstraße, Moers;2026-04-26 00:00:00 +0200;Sunday;4999;17;clear-day;;2509;2490;4790;209;2397;2393;112;97;2207;1407;800;2792;1102;1690;measured
Steinstraße, Moers;2026-04-27 00:00:00 +0200;Monday;13325;19;partly-cloudy-day;;6631;6694;12849;476;6371;6478;260;216;6034;3894;2140;7291;2737;4554;mixed
Steinstraße, Moers;2026-04-28 00:00:00 +0200;Tuesday;15286;19;partly-cloudy-day;;7611;7675;14691;595;7280;7411;331;264;7398;4721;2677;7888;2890;4998;mixed
Steinstraße, Moers;2026-04-29 00:00:00 +0200;Wednesday;13891;19;clear-day;;6899;6992;13324;567;6607;6717;292;275;6498;4066;2432;7393;2833;4560;measured
Steinstraße, Moers;2026-04-30 00:00:00 +0200;Thursday;17127;21;clear-day;;8505;8622;16420;707;8114;8306;391;316;8251;5264;2987;8876;3241;5635;measured
