location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents;towards Neumarkt pedestrians count;towards Neuer Wall pedestrians count;adult pedestrians count;child pedestrians count;adult towards Neumarkt pedestrians count;adult towards Neuer Wall pedestrians count;child towards Neumarkt pedestrians count;child towards Neuer Wall pedestrians count;zone 1 pedestrians count;zone 1 towards Neumarkt pedestrians count;zone 1 towards Neuer Wall pedestrians count;zone 2 pedestrians count;zone 2 towards Neumarkt pedestrians count;zone 2 towards Neuer Wall pedestrians count;collection_type
Steinstraße, Moers;2025-01-01 00:00:00 +0100;Wednesday;2244;9;rain;;1053;1191;2198;46;1032;1166;21;25;1063;589;474;1181;464;717;measured
Steinstraße, Moers;2025-01-02 00:00:00 +0100;Thursday;17692;5;rain;;8755;8937;17036;656;8408;8628;347;309;8241;5397;2844;9451;3358;6093;measured
Steinstraße, Moers;2025-01-03 00:00:00 +0100;Friday;15873;3;snow;;7863;8010;15386;487;7614;7772;249;238;7231;4770;2461;8642;3093;5549;measured
Steinstraße, Moers;2025-01-04 00:00:00 +0100;Saturday;17060;3;rain;;8650;8410;16505;555;8334;8171;316;239;7656;5191;2465;9404;3459;5945;measured
Steinstraße, Moers;2025-01-05 00:00:00 +0100;Sunday;1183;12;snow;;582;601;1161;22;573;588;9;13;533;309;224;650;273;377;measured
Steinstraße, Moers;2025-01-06 00:00:00 +0100;Monday;11280;13;rain;;5649;5631;10973;307;5493;5480;156;151;5531;3209;2322;5749;2440;3309;measured
Steinstraße, Moers;2025-01-07 00:00:00 +0100;Tuesday;11289;6;snow;;5519;5770;10980;309;5358;5622;161;148;5036;2982;2054;6253;2537;3716;measured
Steinstraße, Moers;2025-01-08 00:00:00 +0100;Wednesday;11520;5;snow;;5737;5783;11158;362;5551;5607;186;176;5048;3204;1844;6472;2533;3939;measured
Steinstraße, Moers;2025-01-09 00:00:00 +0100;Thursday;7656;2;snow;;3774;3882;7468;188;3673;3795;101;87;3547;2053;1494;4109;1721;2388;measured
Steinstraße, Moers;2025-01-10 00:00:00 +0100;Friday;14948;3;snow;;7299;7649;14535;413;7085;7450;214;199;6639;4182;2457;8309;3117;5192;measured
Steinstraße, Moers;2025-01-11 00:00:00 +0100;Saturday;16367;0;rain;;8140;8227;15936;431;7913;8023;227;204;7533;5054;2479;8834;3086;5748;measured
Steinstraße, Moers;2025-01-12 00:00:00 +0100;Sunday;3633;4;cloudy;;1743;1890;3531;102;1689;1842;54;48;1484;874;610;2149;869;1280;measured
Steinstraße, Moers;2025-01-13 00:00:00 +0100;Monday;12509;3;partly-cloudy-day;;6189;6320;12093;416;5981;6112;208;208;5698;3370;2328;6811;2819;3992;measured
Steinstraße, Moers;2025-01-14 00:00:00 +0100;Tuesday;11715;2;partly-cloudy-day;;5832;5883;11404;311;5666;5738;166;145;5171;3123;2048;6544;2709;3835;measured
Steinstraße, Moers;2025-01-15 00:00:00 +0100;Wednesday;10584;4;rain;;5276;5308;10259;325;5103;5156;173;152;5033;3002;2031;5551;2274;3277;measured
Steinstraße, Moers;2025-01-16 00:00:00 +0100;Thursday;11531;3;cloudy;;5717;5814;11195;336;5532;5663;185;151;5295;3123;2172;6236;2594;3642;measured
Steinstraße, Moers;2025-01-17 00:00:00 +0100;Friday;13700;1;cloudy;;6793;6907;13283;417;6563;6720;230;187;6294;3916;2378;7406;2877;4529;measured
Steinstraße, Moers;2025-01-18 00:00:00 +0100;Saturday;16356;2;cloudy;;8203;8153;15907;449;7973;7934;230;219;7473;4860;2613;8883;3343;5540;measured
Steinstraße, Moers;2025-01-19 00:00:00 +0100;Sunday;2767;-1;cloudy;;1355;1412;2709;58;1324;1385;31;27;1123;646;477;1644;709;935;measured
Steinstraße, Moers;2025-01-20 00:00:00 +0100;Monday;9974;0;cloudy;;4913;5061;9640;334;4746;4894;167;167;4564;2608;1956;5410;2305;3105;measured
Steinstraße, Moers;2025-01-21 00:00:00 +0100;Tuesday;13095;3;cloudy;;6497;6598;12688;407;6293;6395;204;203;5461;3459;2002;7634;3038;4596;measured
Steinstraße, Moers;2025-01-22 00:00:00 +0100;Wednesday;10358;5;rain;;5215;5143;10063;295;5053;5010;162;133;4567;2744;1823;5791;2471;3320;measured
Steinstraße, Moers;2025-01-23 00:00:00 +0100;Thursday;10953;6;rain;;5453;5500;10585;368;5257;5328;196;172;4977;2986;1991;5976;2467;3509;measured
Steinstraße, Moers;2025-01-24 00:00:00 +0100;Friday;9124;9;rain;;4553;4571;8901;223;4431;4470;122;101;4332;2575;1757;4792;1978;2814;measured
Steinstraße, Moers;2025-01-25 00:00:00 +0100;Saturday;14997;11;rain;;7439;7558;14468;529;7163;7305;276;253;6810;4502;2308;8187;2937;5250;measured
Steinstraße, Moers;2025-01-26 00:00:00 +0100;Sunday;3320;6;snow;;1647;1673;3225;95;1592;1633;55;40;1513;946;567;1807;701;1106;measured
Steinstraße, Moers;2025-01-27 00:00:00 +0100;Monday;13241;13;rain;;6507;6734;12837;404;6284;6553;223;181;6025;3675;2350;7216;2832;4384;measured
Steinstraße, Moers;2025-01-28 00:00:00 +0100;Tuesday;12916;10;rain;;6364;6552;12501;415;6153;6348;211;204;5874;3607;2267;7042;2757;4285;measured
Steinstraße, Moers;2025-01-29 00:00:00 +0100;Wednesday;11613;9;rain;;5774;5839;11246;367;5575;5671;199;168;5181;3304;1877;6432;2470;3962;measured
Steinstraße, Moers;2025-01-30 00:00:00 +0100;Thursday;7933;7;rain;;3883;4050;7739;194;3776;3963;107;87;3566;2084;1482;4367;1799;2568;measured
Steinstraße, Moers;2025-01-31 00:00:00 +0100;Friday;16980;7;rain;;8429;8551;16388;592;8110;8278;319;273;7927;5072;2855;9053;3357;5696;measured
