location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents;towards Lappan pedestrians count;towards Markt pedestrians count;adult pedestrians count;child pedestrians count;adult towards Lappan pedestrians count;adult towards Markt pedestrians count;child towards Lappan pedestrians count;child towards Markt pedestrians count;zone 1 pedestrians count;zone 1 towards Lappan pedestrians count;zone 1 towards Markt pedestrians count;zone 2 pedestrians count;zone 2 towards Lappan pedestrians count;zone 2 towards Markt pedestrians count;collection_type
Achternstraße, Oldenburg;2025-12-27 00:00:00 +0100;Saturday;33225;6;partly-cloudy-day;;18854;14371;32036;1189;18203;13833;651;538;24309;17203;7106;8916;1651;7265;measured
Achternstraße, Oldenburg;2025-12-28 00:00:00 +0100;Sunday;4443;0;cloudy;;2554;1889;4309;134;2467;1842;87;47;3243;2172;1071;1200;382;818;mixed
Achternstraße, Oldenburg;2025-12-29 00:00:00 +0100;Monday;28806;6;rain;;15801;13005;27641;1165;15169;12472;632;533;20411;14190;6221;8395;1611;6784;measured
Achternstraße, Oldenburg;2025-12-30 00:00:00 +0100;Tuesday;27218;4;partly-cloudy-day;;15054;12164;26067;1151;14444;11623;610;541;21316;13744;7572;5902;1310;4592;measured
Achternstraße, Oldenburg;2025-12-31 00:00:00 +0100;Wednesday;7088;6;rain;;3762;3326;6837;251;3636;3201;126;125;4684;3071;1613;2404;691;1713;measured
location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents;towards Markt pedestrians count;towards Lappan pedestrians count;adult pedestrians count;child pedestrians count;adult towards Markt pedestrians count;adult towards Lappan pedestrians count;child towards Markt pedestrians count;child towards Lappan pedestrians count;zone 1 pedestrians count;zone 1 towards Markt pedestrians count;zone 1 towards Lappan pedestrians count;zone 2 pedestrians count;zone 2 towards Markt pedestrians count;zone 2 towards Lappan pedestrians count;collection_type
Lange Straße, Oldenburg;2025-01-01 00:00:00 +0100;Wednesday;3006;9;rain;;1454;1552;2946;60;1422;1524;32;28;2408;1328;1080;598;126;472;measured
Lange Straße, Oldenburg;2025-01-02 00:00:00 +0100;Thursday;16417;6;rain;;9032;7385;15870;547;8738;7132;294;253;12749;8596;4153;3668;436;3232;measured
Lange Straße, Oldenburg;2025-01-03 00:00:00 +0100;Friday;12151;2;snow;;6478;5673;11867;284;6330;5537;148;136;9997;6203;3794;2154;275;1879;measured
Lange Straße, Oldenburg;2025-01-04 00:00:00 +0100;Saturday;18576;2;partly-cloudy-day;;10062;8514;18170;406;9843;8327;219;187;15261;9701;5560;3315;361;2954;mixed
Lange Straße, Oldenburg;2025-01-05 00:00:00 +0100;Sunday;1682;11;snow;;832;850;1644;38;818;826;14;24;1409;769;640;273;63;210;mixed
Lange Straße, Oldenburg;2025-01-06 00:00:00 +0100;Monday;7116;12;rain;;3772;3344;6874;242;3642;3232;130;112;5668;3564;2104;1448;208;1240;measured
Lange Straße, Oldenburg;2025-01-07 00:00:00 +0100;Tuesday;7640;6;rain;;4057;3583;7381;259;3913;3468;144;115;6720;3891;2829;920;166;754;mixed
Lange Straße, Oldenburg;2025-01-08 00:00:00 +0100;Wednesday;9255;5;rain;;5027;4228;8902;353;4828;4074;199;154;7837;4825;3012;1418;202;1216;measured
Lange Straße, Oldenburg;2025-01-09 00:00:00 +0100;Thursday;7393;2;snow;;3883;3510;7121;272;3736;3385;147;125;6148;3703;2445;1245;180;1065;measured
Lange Straße, Oldenburg;2025-01-10 00:00:00 +0100;Friday;9687;4;snow;;5034;4653;9402;285;4889;4513;145;140;8019;4832;3187;1668;202;1466;measured
Lange Straße, Oldenburg;2025-01-11 00:00:00 +0100;Saturday;21218;3;partly-cloudy-day;;11601;9617;20625;593;11265;9360;336;257;18219;11159;7060;2999;442;2557;measured
Lange Straße, Oldenburg;2025-01-12 00:00:00 +0100;Sunday;4192;4;partly-cloudy-day;;2383;1809;4092;100;2318;1774;65;35;3356;2239;1117;836;144;692;measured
Lange Straße, Oldenburg;2025-01-13 00:00:00 +0100;Monday;7157;3;partly-cloudy-day;;3909;3248;6877;280;3763;3114;146;134;5846;3687;2159;1311;222;1089;measured
Lange Straße, Oldenburg;2025-01-14 00:00:00 +0100;Tuesday;7346;5;partly-cloudy-day;;3912;3434;7059;287;3746;3313;166;121;6184;3704;2480;1162;208;954;measured
Lange Straße, Oldenburg;2025-01-15 00:00:00 +0100;Wednesday;7852;6;cloudy;;4072;3780;7566;286;3919;3647;153;133;6651;3849;2802;1201;223;978;measured
Lange Straße, Oldenburg;2025-01-16 00:00:00 +0100;Thursday;8058;5;cloudy;;4256;3802;7797;261;4106;3691;150;111;6654;4049;2605;1404;207;1197;measured
Lange Straße, Oldenburg;2025-01-17 00:00:00 +0100;Friday;10185;1;cloudy;;5408;4777;9876;309;5225;4651;183;126;8397;5181;3216;1788;227;1561;measured
Lange Straße, Oldenburg;2025-01-18 00:00:00 +0100;Saturday;21067;-1;cloudy;;11536;9531;20536;531;11240;9296;296;235;16770;11044;5726;4297;492;3805;mixed
Lange Straße, Oldenburg;2025-01-19 00:00:00 +0100;Sunday;3427;-1;cloudy;;1830;1597;3347;80;1794;1553;36;44;2923;1741;1182;504;89;415;mixed
Lange Straße, Oldenburg;2025-01-20 00:00:00 +0100;Monday;6558;-1;cloudy;;3440;3118;6352;206;3320;3032;120;86;5265;3273;1992;1293;167;1126;measured
Lange Straße, Oldenburg;2025-01-21 00:00:00 +0100;Tuesday;7331;-1;cloudy;;3950;3381;7058;273;3785;3273;165;108;6147;3789;2358;1184;161;1023;measured
Lange Straße, Oldenburg;2025-01-22 00:00:00 +0100;Wednesday;8069;3;rain;;4337;3732;7771;298;4165;3606;172;126;6876;4129;2747;1193;208;985;measured
Lange Straße, Oldenburg;2025-01-23 00:00:00 +0100;Thursday;7944;6;rain;;4206;3738;7661;283;4049;3612;157;126;6705;4038;2667;1239;168;1071;measured
Lange Straße, Oldenburg;2025-01-24 00:00:00 +0100;Friday;8614;9;rain;;4583;4031;8324;290;4432;3892;151;139;7164;4357;2807;1450;226;1224;measured
Lange Straße, Oldenburg;2025-01-25 00:00:00 +0100;Saturday;20262;8;rain;;10906;9356;19718;544;10580;9138;326;218;16634;10440;6194;3628;466;3162;mixed
Lange Straße, Oldenburg;2025-01-26 00:00:00 +0100;Sunday;3791;5;rain;;2029;1762;3672;119;1961;1711;68;51;3002;1886;1116;789;143;646;measured
Lange Straße, Oldenburg;2025-01-27 00:00:00 +0100;Monday;8020;12;rain;;4266;3754;7715;305;4097;3618;169;136;6439;4055;2384;1581;211;1370;measured
Lange Straße, Oldenburg;2025-01-28 00:00:00 +0100;Tuesday;9235;10;rain;;4988;4247;8846;389;4770;4076;218;171;7703;4782;2921;1532;206;1326;measured
Lange Straße, Oldenburg;2025-01-29 00:00:00 +0100;Wednesday;7528;8;rain;;3892;3636;7309;219;3779;3530;113;106;6158;3710;2448;1370;182;1188;measured
Lange Straße, Oldenburg;2025-01-30 00:00:00 +0100;Thursday;8616;7;rain;;4502;4114;8309;307;4340;3969;162;145;7688;4342;3346;928;160;768;measured
Lange Straße, Oldenburg;2025-01-31 00:00:00 +0100;Friday;14619;7;rain;;7794;6825;14148;471;7524;6624;270;201;11847;7447;4400;2772;347;2425;measured
Lange Straße, Oldenburg;2025-02-01 00:00:00 +0100;Saturday;23797;2;cloudy;;12736;11061;23229;568;12436;10793;300;268;19259;12221;7038;4538;515;4023;mixed
Lange Straße, Oldenburg;2025-02-02 00:00:00 +0100;Sunday;4791;1;rain;;2646;2145;4675;116;2584;2091;62;54;4332;2508;1824;459;138;321;measured
Lange Straße, Oldenburg;2025-02-03 00:00:00 +0100;Monday;12817;4;partly-cloudy-day;;6903;5914;12396;421;6654;5742;249;172;9794;6547;3247;3023;356;2667;measured
Lange Straße, Oldenburg;2025-02-04 00:00:00 +0100;Tuesday;11123;3;partly-cloudy-day;;5693;5430;10736;387;5474;5262;219;168;9573;5493;4080;1550;200;1350;measured
Lange Straße, Oldenburg;2025-02-05 00:00:00 +0100;Wednesday;9397;7;rain;;5040;4357;9082;315;4873;4209;167;148;7856;4844;3012;1541;196;1345;measured
Lange Straße, Oldenburg;2025-02-06 00:00:00 +0100;Thursday;10031;6;partly-cloudy-day;;5466;4565;9649;382;5265;4384;201;181;8387;5204;3183;1644;262;1382;measured
Lange Straße, Oldenburg;2025-02-07 00:00:00 +0100;Friday;11233;3;cloudy;;5913;5320;10862;371;5715;5147;198;173;9081;5580;3501;2152;333;1819;measured
Lange Straße, Oldenburg;2025-02-08 00:00:00 +0100;Saturday;21080;5;rain;;11472;9608;20533;547;11174;9359;298;249;17358;11069;6289;3722;403;3319;measured
Lange Straße, Oldenburg;2025-02-09 00:00:00 +0100;Sunday;4706;5;partly-cloudy-day;;2732;1974;4574;132;2653;1921;79;53;4040;2570;1470;666;162;504;measured
Lange Straße, Oldenburg;2025-02-10 00:00:00 +0100;Monday;8230;4;partly-cloudy-day;;4308;3922;7945;285;4141;3804;167;118;7316;4151;3165;914;157;757;measured
Lange Straße, Oldenburg;2025-02-11 00:00:00 +0100;Tuesday;6525;2;snow;;3377;3148;6321;204;3272;3049;105;99;5429;3174;2255;1096;203;893;measured
Lange Straße, Oldenburg;2025-02-12 00:00:00 +0100;Wednesday;7564;2;snow;;3911;3653;7300;264;3769;3531;142;122;6479;3767;2712;1085;144;941;measured
Lange Straße, Oldenburg;2025-02-13 00:00:00 +0100;Thursday;7766;1;snow;;4029;3737;7546;220;3917;3629;112;108;6605;3857;2748;1161;172;989;measured
Lange Straße, Oldenburg;2025-02-14 00:00:00 +0100;Friday;12502;1;cloudy;;6630;5872;12168;334;6434;5734;196;138;10594;6396;4198;1908;234;1674;measured
Lange Straße, Oldenburg;2025-02-15 00:00:00 +0100;Saturday;21437;2;partly-cloudy-day;;11766;9671;20827;610;11432;9395;334;276;16281;11213;5068;5156;553;4603;measured
Lange Straße, Oldenburg;2025-02-16 00:00:00 +0100;Sunday;4251;2;partly-cloudy-day;;2333;1918;4125;126;2263;1862;70;56;3555;2210;1345;696;123;573;mixed
Lange Straße, Oldenburg;2025-02-17 00:00:00 +0100;Monday;8356;2;clear-day;;4496;3860;8073;283;4342;3731;154;129;6681;4241;2440;1675;255;1420;measured
Lange Straße, Oldenburg;2025-02-18 00:00:00 +0100;Tuesday;8722;2;clear-day;;4780;3942;8405;317;4588;3817;192;125;7529;4553;2976;1193;227;966;measured
Lange Straße, Oldenburg;2025-02-19 00:00:00 +0100;Wednesday;8666;5;clear-day;;4679;3987;8354;312;4490;3864;189;123;7506;4472;3034;1160;207;953;measured
Lange Straße, Oldenburg;2025-02-20 00:00:00 +0100;Thursday;9033;7;rain;;4809;4224;8695;338;4610;4085;199;139;7788;4577;3211;1245;232;1013;mixed
Lange Straße, Oldenburg;2025-02-21 00:00:00 +0100;Friday;14417;16;rain;;7596;6821;13949;468;7323;6626;273;195;12072;7244;4828;2345;352;1993;measured
Lange Straße, Oldenburg;2025-02-22 00:00:00 +0100;Saturday;23272;14;rain;;12683;10589;22588;684;12299;10289;384;300;18664;12208;6456;4608;475;4133;measured
Lange Straße, Oldenburg;2025-02-23 00:00:00 +0100;Sunday;5175;12;rain;;2817;2358;4996;179;2716;2280;101;78;4319;2666;1653;856;151;705;mixed
Lange Straße, Oldenburg;2025-02-24 00:00:00 +0100;Monday;6967;13;rain;;3747;3220;6691;276;3585;3106;162;114;5468;3562;1906;1499;185;1314;measured
Lange Straße, Oldenburg;2025-02-25 00:00:00 +0100;Tuesday;9881;12;rain;;5414;4467;9492;389;5180;4312;234;155;8503;5172;3331;1378;242;1136;measured
Lange Straße, Oldenburg;2025-02-26 00:00:00 +0100;Wednesday;9642;9;rain;;5199;4443;9311;331;5017;4294;182;149;8028;4966;3062;1614;233;1381;measured
Lange Straße, Oldenburg;2025-02-27 00:00:00 +0100;Thursday;9688;8;rain;;5141;4547;9295;393;4929;4366;212;181;8242;4904;3338;1446;237;1209;mixed
Lange Straße, Oldenburg;2025-02-28 00:00:00 +0100;Friday;13436;5;rain;;7136;6300;13002;434;6899;6103;237;197;10699;6758;3941;2737;378;2359;measured
Lange Straße, Oldenburg;2025-03-01 00:00:00 +0100;Saturday;24055;6;cloudy;;13111;10944;23423;632;12755;10668;356;276;19592;12613;6979;4463;498;3965;measured
Lange Straße, Oldenburg;2025-03-02 00:00:00 +0100;Sunday;5167;9;partly-cloudy-day;;2874;2293;4991;176;2775;2216;99;77;4317;2735;1582;850;139;711;measured
Lange Straße, Oldenburg;2025-03-03 00:00:00 +0100;Monday;10550;10;partly-cloudy-day;;5793;4757;10100;450;5543;4557;250;200;8064;5465;2599;2486;328;2158;measured
Lange Straße, Oldenburg;2025-03-04 00:00:00 +0100;Tuesday;10104;11;partly-cloudy-day;;5541;4563;9712;392;5329;4383;212;180;7979;5265;2714;2125;276;1849;mixed
Lange Straße, Oldenburg;2025-03-05 00:00:00 +0100;Wednesday;10844;15;clear-day;;5883;4961;10438;406;5659;4779;224;182;9755;5675;4080;1089;208;881;measured
Lange Straße, Oldenburg;2025-03-06 00:00:00 +0100;Thursday;11264;17;clear-day;;6159;5105;10842;422;5919;4923;240;182;9813;5892;3921;1451;267;1184;measured
Lange Straße, Oldenburg;2025-03-07 00:00:00 +0100;Friday;15572;19;clear-day;;8408;7164;15057;515;8109;6948;299;216;12503;8065;4438;3069;343;2726;measured
Lange Straße, Oldenburg;2025-03-08 00:00:00 +0100;Saturday;27641;18;partly-cloudy-day;;15163;12478;26883;758;14707;12176;456;302;22834;14612;8222;4807;551;4256;measured
Lange Straße, Oldenburg;2025-03-09 00:00:00 +0100;Sunday;5876;17;partly-cloudy-day;;3431;2445;5700;176;3334;2366;97;79;4978;3254;1724;898;177;721;measured
Lange Straße, Oldenburg;2025-03-10 00:00:00 +0100;Monday;9835;13;partly-cloudy-day;;5381;4454;9461;374;5144;4317;237;137;7767;5104;2663;2068;277;1791;measured
Lange Straße, Oldenburg;2025-03-11 00:00:00 +0100;Tuesday;8833;6;partly-cloudy-day;;4698;4135;8520;313;4530;3990;168;145;7955;4521;3434;878;177;701;measured
Lange Straße, Oldenburg;2025-03-12 00:00:00 +0100;Wednesday;9096;8;rain;;4900;4196;8793;303;4725;4068;175;128;8510;4748;3762;586;152;434;measured
Lange Straße, Oldenburg;2025-03-13 00:00:00 +0100;Thursday;9799;7;partly-cloudy-day;;5222;4577;9494;305;5055;4439;167;138;8929;5003;3926;870;219;651;measured
Lange Straße, Oldenburg;2025-03-14 00:00:00 +0100;Friday;12727;6;snow;;6850;5877;12299;428;6601;5698;249;179;11614;6628;4986;1113;222;891;measured
Lange Straße, Oldenburg;2025-03-15 00:00:00 +0100;Saturday;25572;7;partly-cloudy-day;;13921;11651;24892;680;13536;11356;385;295;23352;13558;9794;2220;363;1857;measured
Lange Straße, Oldenburg;2025-03-16 00:00:00 +0100;Sunday;4345;8;rain;;2355;1990;4226;119;2283;1943;72;47;3590;2242;1348;755;113;642;mixed
Lange Straße, Oldenburg;2025-03-17 00:00:00 +0100;Monday;9861;8;clear-day;;5369;4492;9492;369;5157;4335;212;157;7691;5097;2594;2170;272;1898;measured
Lange Straße, Oldenburg;2025-03-18 00:00:00 +0100;Tuesday;10185;10;clear-day;;5586;4599;9755;430;5347;4408;239;191;8684;5373;3311;1501;213;1288;measured
Lange Straße, Oldenburg;2025-03-19 00:00:00 +0100;Wednesday;8779;15;clear-day;;4309;4470;8450;329;4170;4280;139;190;7693;4074;3619;1086;235;851;measured
Lange Straße, Oldenburg;2025-03-20 00:00:00 +0100;Thursday;11328;19;partly-cloudy-day;;6224;5104;10899;429;5979;4920;245;184;10049;6004;4045;1279;220;1059;measured
Lange Straße, Oldenburg;2025-03-21 00:00:00 +0100;Friday;15376;20;clear-day;;8056;7320;14892;484;7806;7086;250;234;13403;7772;5631;1973;284;1689;measured
Lange Straße, Oldenburg;2025-03-22 00:00:00 +0100;Saturday;23136;18;clear-day;;12237;10899;22535;601;11911;10624;326;275;19444;11621;7823;3692;616;3076;measured
Lange Straße, Oldenburg;2025-03-23 00:00:00 +0100;Sunday;5066;16;rain;;2818;2248;4882;184;2710;2172;108;76;4423;2673;1750;643;145;498;measured
Lange Straße, Oldenburg;2025-03-24 00:00:00 +0100;Monday;9191;16;rain;;4943;4248;8807;384;4730;4077;213;171;7785;4734;3051;1406;209;1197;measured
Lange Straße, Oldenburg;2025-03-25 00:00:00 +0100;Tuesday;9576;12;rain;;5165;4411;9216;360;4967;4249;198;162;8751;4950;3801;825;215;610;measured
Lange Straße, Oldenburg;2025-03-26 00:00:00 +0100;Wednesday;9556;10;cloudy;;5075;4481;9186;370;4861;4325;214;156;8489;4827;3662;1067;248;819;measured
Lange Straße, Oldenburg;2025-03-27 00:00:00 +0100;Thursday;11764;15;clear-day;;6419;5345;11279;485;6133;5146;286;199;10689;6199;4490;1075;220;855;measured
Lange Straße, Oldenburg;2025-03-28 00:00:00 +0100;Friday;15275;18;clear-day;;8103;7172;14729;546;7795;6934;308;238;13795;7807;5988;1480;296;1184;measured
Lange Straße, Oldenburg;2025-03-29 00:00:00 +0100;Saturday;25611;14;partly-cloudy-day;;14146;11465;24923;688;13749;11174;397;291;23000;13705;9295;2611;441;2170;measured
Lange Straße, Oldenburg;2025-03-30 00:00:00 +0100;Sunday;3512;10;rain;;1853;1659;3435;77;1811;1624;42;35;3037;1765;1272;475;88;387;mixed
Lange Straße, Oldenburg;2025-03-31 00:00:00 +0200;Monday;10460;11;rain;;5586;4874;10024;436;5339;4685;247;189;8495;5338;3157;1965;248;1717;measured
Lange Straße, Oldenburg;2025-04-01 00:00:00 +0200;Tuesday;11314;14;partly-cloudy-day;;6104;5210;10821;493;5840;4981;264;229;10230;5887;4343;1084;217;867;measured
Lange Straße, Oldenburg;2025-04-02 00:00:00 +0200;Wednesday;11757;17;clear-day;;6275;5482;11334;423;6034;5300;241;182;10972;6083;4889;785;192;593;measured
Lange Straße, Oldenburg;2025-04-03 00:00:00 +0200;Thursday;12748;20;clear-day;;6880;5868;12272;476;6631;5641;249;227;11768;6650;5118;980;230;750;measured
Lange Straße, Oldenburg;2025-04-04 00:00:00 +0200;Friday;15586;21;clear-day;;8226;7360;15091;495;7957;7134;269;226;14174;7966;6208;1412;260;1152;measured
Lange Straße, Oldenburg;2025-04-05 00:00:00 +0200;Saturday;21738;13;clear-day;;11524;10214;21207;531;11234;9973;290;241;20959;11302;9657;779;222;557;measured
Lange Straße, Oldenburg;2025-04-06 00:00:00 +0200;Sunday;19557;11;clear-day;;11348;8209;18957;600;10990;7967;358;242;18951;11158;7793;606;190;416;mixed
Lange Straße, Oldenburg;2025-04-07 00:00:00 +0200;Monday;11778;13;clear-day;;6357;5421;11329;449;6110;5219;247;202;9551;6034;3517;2227;323;1904;measured
Lange Straße, Oldenburg;2025-04-08 00:00:00 +0200;Tuesday;12195;15;partly-cloudy-day;;6514;5681;11776;419;6264;5512;250;169;11561;6331;5230;634;183;451;measured
Lange Straße, Oldenburg;2025-04-09 00:00:00 +0200;Wednesday;8243;9;cloudy;;3384;4859;7972;271;3284;4688;100;171;7393;3203;4190;850;181;669;measured
Lange Straße, Oldenburg;2025-04-10 00:00:00 +0200;Thursday;12687;14;partly-cloudy-day;;6676;6011;12202;485;6404;5798;272;213;12030;6500;5530;657;176;481;measured
Lange Straße, Oldenburg;2025-04-11 00:00:00 +0200;Friday;31;18;partly-cloudy-day;;12;19;30;1;12;18;0;1;29;11;18;2;1;1;measured
Lange Straße, Oldenburg;2025-04-11 00:00:00 +0200;Friday;9471;;;;3697;5774;9178;293;3599;5579;98;195;8681;3503;5178;790;194;596;measured
Lange Straße, Oldenburg;2025-04-12 00:00:00 +0200;Saturday;22764;20;partly-cloudy-day;;12374;10390;22130;634;12020;10110;354;280;21443;12011;9432;1321;363;958;measured
Lange Straße, Oldenburg;2025-04-13 00:00:00 +0200;Sunday;4015;19;rain;;2069;1946;3908;107;2011;1897;58;49;3638;1977;1661;377;92;285;mixed
Lange Straße, Oldenburg;2025-04-14 00:00:00 +0200;Monday;13317;18;rain;;6957;6360;12798;519;6670;6128;287;232;10614;6637;3977;2703;320;2383;measured
Lange Straße, Oldenburg;2025-04-15 00:00:00 +0200;Tuesday;15770;24;rain;;8529;7241;15159;611;8195;6964;334;277;15071;8297;6774;699;232;467;measured
Lange Straße, Oldenburg;2025-04-16 00:00:00 +0200;Wednesday;14979;21;rain;;7818;7161;14349;630;7485;6864;333;297;14173;7630;6543;806;188;618;measured
Lange Straße, Oldenburg;2025-04-17 00:00:00 +0200;Thursday;11667;11;rain;;5331;6336;11279;388;5154;6125;177;211;10515;5118;5397;1152;213;939;measured
Lange Straße, Oldenburg;2025-04-18 00:00:00 +0200;Friday;3258;10;rain;;1363;1895;3171;87;1334;1837;29;58;2675;1244;1431;583;119;464;mixed
Lange Straße, Oldenburg;2025-04-19 00:00:00 +0200;Saturday;22199;14;partly-cloudy-day;;11660;10539;21647;552;11374;10273;286;266;19878;11256;8622;2321;404;1917;measured
Lange Straße, Oldenburg;2025-04-20 00:00:00 +0200;Sunday;4846;16;partly-cloudy-day;;2603;2243;4699;147;2520;2179;83;64;4106;2481;1625;740;122;618;mixed
Lange Straße, Oldenburg;2025-04-21 00:00:00 +0200;Monday;4410;16;rain;;2467;1943;4280;130;2393;1887;74;56;3479;2327;1152;931;140;791;mixed
Lange Straße, Oldenburg;2025-04-22 00:00:00 +0200;Tuesday;11782;15;rain;;6480;5302;11286;496;6189;5097;291;205;10929;6315;4614;853;165;688;measured
Lange Straße, Oldenburg;2025-04-23 00:00:00 +0200;Wednesday;11642;17;rain;;6464;5178;11165;477;6199;4966;265;212;11065;6306;4759;577;158;419;measured
Lange Straße, Oldenburg;2025-04-24 00:00:00 +0200;Thursday;10659;16;rain;;5706;4953;10282;377;5510;4772;196;181;10195;5591;4604;464;115;349;measured
Lange Straße, Oldenburg;2025-04-25 00:00:00 +0200;Friday;14296;15;partly-cloudy-day;;7541;6755;13811;485;7276;6535;265;220;13338;7314;6024;958;227;731;measured
Lange Straße, Oldenburg;2025-04-26 00:00:00 +0200;Saturday;20129;18;partly-cloudy-day;;10565;9564;19598;531;10281;9317;284;247;18673;10318;8355;1456;247;1209;mixed
Lange Straße, Oldenburg;2025-04-27 00:00:00 +0200;Sunday;5415;18;clear-day;;2842;2573;5194;221;2711;2483;131;90;4877;2734;2143;538;108;430;measured
Lange Straße, Oldenburg;2025-04-28 00:00:00 +0200;Monday;10613;21;partly-cloudy-day;;5793;4820;10188;425;5553;4635;240;185;9891;5558;4333;722;235;487;measured
Lange Straße, Oldenburg;2025-04-29 00:00:00 +0200;Tuesday;12114;21;partly-cloudy-day;;6466;5648;11649;465;6201;5448;265;200;11565;6294;5271;549;172;377;measured
Lange Straße, Oldenburg;2025-04-30 00:00:00 +0200;Wednesday;16347;23;partly-cloudy-day;;8698;7649;15791;556;8404;7387;294;262;15880;8518;7362;467;180;287;measured
Lange Straße, Oldenburg;2025-05-01 00:00:00 +0200;Thursday;6109;27;partly-cloudy-day;;3089;3020;5903;206;2992;2911;97;109;5788;3014;2774;321;75;246;mixed
Lange Straße, Oldenburg;2025-05-02 00:00:00 +0200;Friday;18063;24;partly-cloudy-day;;9568;8495;17534;529;9269;8265;299;230;17549;9395;8154;514;173;341;measured
Lange Straße, Oldenburg;2025-05-03 00:00:00 +0200;Saturday;23076;17;rain;;12514;10562;22429;647;12148;10281;366;281;22517;12276;10241;559;238;321;measured
Lange Straße, Oldenburg;2025-05-04 00:00:00 +0200;Sunday;3567;12;partly-cloudy-day;;1907;1660;3468;99;1853;1615;54;45;3362;1831;1531;205;76;129;mixed
Lange Straße, Oldenburg;2025-05-05 00:00:00 +0200;Monday;10121;14;partly-cloudy-day;;5472;4649;9714;407;5236;4478;236;171;7437;5006;2431;2684;466;2218;mixed
Lange Straße, Oldenburg;2025-05-06 00:00:00 +0200;Tuesday;10783;14;rain;;5950;4833;10369;414;5715;4654;235;179;8895;5480;3415;1888;470;1418;measured
Lange Straße, Oldenburg;2025-05-07 00:00:00 +0200;Wednesday;11880;18;partly-cloudy-day;;6382;5498;11415;465;6106;5309;276;189;10704;6101;4603;1176;281;895;measured
Lange Straße, Oldenburg;2025-05-08 00:00:00 +0200;Thursday;11266;17;partly-cloudy-day;;6012;5254;10841;425;5781;5060;231;194;10481;5833;4648;785;179;606;measured
Lange Straße, Oldenburg;2025-05-09 00:00:00 +0200;Friday;14943;20;partly-cloudy-day;;8007;6936;14478;465;7726;6752;281;184;14211;7815;6396;732;192;540;measured
Lange Straße, Oldenburg;2025-05-10 00:00:00 +0200;Saturday;25113;20;partly-cloudy-day;;13904;11209;24343;770;13467;10876;437;333;23783;13448;10335;1330;456;874;measured
Lange Straße, Oldenburg;2025-05-11 00:00:00 +0200;Sunday;5550;22;clear-day;;2999;2551;5338;212;2878;2460;121;91;4958;2869;2089;592;130;462;mixed
Lange Straße, Oldenburg;2025-05-12 00:00:00 +0200;Monday;10201;19;clear-day;;5347;4854;9745;456;5093;4652;254;202;8350;5101;3249;1851;246;1605;measured
Lange Straße, Oldenburg;2025-05-13 00:00:00 +0200;Tuesday;10553;22;clear-day;;5726;4827;10124;429;5484;4640;242;187;9869;5528;4341;684;198;486;measured
Lange Straße, Oldenburg;2025-05-14 00:00:00 +0200;Wednesday;11151;18;partly-cloudy-day;;6016;5135;10704;447;5760;4944;256;191;10437;5855;4582;714;161;553;mixed
Lange Straße, Oldenburg;2025-05-15 00:00:00 +0200;Thursday;11201;18;partly-cloudy-day;;6106;5095;10765;436;5841;4924;265;171;10520;5950;4570;681;156;525;measured
Lange Straße, Oldenburg;2025-05-16 00:00:00 +0200;Friday;13663;16;partly-cloudy-day;;7252;6411;13226;437;7013;6213;239;198;12666;7052;5614;997;200;797;measured
Lange Straße, Oldenburg;2025-05-17 00:00:00 +0200;Saturday;22334;19;rain;;12140;10194;21679;655;11754;9925;386;269;21222;11819;9403;1112;321;791;mixed
Lange Straße, Oldenburg;2025-05-18 00:00:00 +0200;Sunday;4630;18;partly-cloudy-day;;2559;2071;4493;137;2476;2017;83;54;4091;2429;1662;539;130;409;mixed
Lange Straße, Oldenburg;2025-05-19 00:00:00 +0200;Monday;9680;20;partly-cloudy-day;;5263;4417;9259;421;5017;4242;246;175;7808;4995;2813;1872;268;1604;measured
Lange Straße, Oldenburg;2025-05-20 00:00:00 +0200;Tuesday;9299;22;partly-cloudy-day;;4359;4940;8938;361;4206;4732;153;208;8580;4146;4434;719;213;506;measured
Lange Straße, Oldenburg;2025-05-21 00:00:00 +0200;Wednesday;11789;19;partly-cloudy-day;;6279;5510;11400;389;6064;5336;215;174;10482;6044;4438;1307;235;1072;measured
Lange Straße, Oldenburg;2025-05-22 00:00:00 +0200;Thursday;8901;13;rain;;4743;4158;8615;286;4568;4047;175;111;8086;4552;3534;815;191;624;measured
Lange Straße, Oldenburg;2025-05-23 00:00:00 +0200;Friday;12825;15;rain;;6703;6122;12319;506;6421;5898;282;224;11950;6549;5401;875;154;721;measured
Lange Straße, Oldenburg;2025-05-24 00:00:00 +0200;Saturday;22112;18;rain;;12205;9907;21510;602;11875;9635;330;272;20999;11872;9127;1113;333;780;measured
Lange Straße, Oldenburg;2025-05-25 00:00:00 +0200;Sunday;3431;19;rain;;1781;1650;3351;80;1742;1609;39;41;2907;1660;1247;524;121;403;mixed
Lange Straße, Oldenburg;2025-05-26 00:00:00 +0200;Monday;9263;18;rain;;4913;4350;8901;362;4716;4185;197;165;7739;4702;3037;1524;211;1313;measured
Lange Straße, Oldenburg;2025-05-27 00:00:00 +0200;Tuesday;8407;17;rain;;4508;3899;8104;303;4351;3753;157;146;7364;4352;3012;1043;156;887;measured
