location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents;towards Lappan pedestrians count;towards Markt pedestrians count;adult pedestrians count;child pedestrians count;adult towards Lappan pedestrians count;adult towards Markt pedestrians count;child towards Lappan pedestrians count;child towards Markt pedestrians count;zone 1 pedestrians count;zone 1 towards Lappan pedestrians count;zone 1 towards Markt pedestrians count;zone 2 pedestrians count;zone 2 towards Lappan pedestrians count;zone 2 towards Markt pedestrians count;collection_type
Achternstraße, Oldenburg;2025-02-03 00:00:00 +0100;Monday;19894;4;partly-cloudy-day;;10978;8916;19020;874;10492;8528;486;388;13262;9809;3453;6632;1169;5463;measured
Achternstraße, Oldenburg;2025-02-04 00:00:00 +0100;Tuesday;17053;3;partly-cloudy-day;;9229;7824;16280;773;8808;7472;421;352;11722;8288;3434;5331;941;4390;measured
Achternstraße, Oldenburg;2025-02-05 00:00:00 +0100;Wednesday;14291;7;rain;;7799;6492;13508;783;7371;6137;428;355;9864;6972;2892;4427;827;3600;measured
Achternstraße, Oldenburg;2025-02-06 00:00:00 +0100;Thursday;15071;6;partly-cloudy-day;;8201;6870;14257;814;7784;6473;417;397;10129;7285;2844;4942;916;4026;measured
Achternstraße, Oldenburg;2025-02-07 00:00:00 +0100;Friday;15728;3;cloudy;;8523;7205;15071;657;8176;6895;347;310;11234;7601;3633;4494;922;3572;measured
Achternstraße, Oldenburg;2025-02-08 00:00:00 +0100;Saturday;28568;5;rain;;16376;12192;27452;1116;15792;11660;584;532;20535;14983;5552;8033;1393;6640;measured
Achternstraße, Oldenburg;2025-02-09 00:00:00 +0100;Sunday;5138;5;partly-cloudy-day;;3172;1966;4925;213;3024;1901;148;65;2919;2349;570;2219;823;1396;measured
Achternstraße, Oldenburg;2025-02-10 00:00:00 +0100;Monday;13111;4;partly-cloudy-day;;6997;6114;12482;629;6655;5827;342;287;9925;6314;3611;3186;683;2503;measured
Achternstraße, Oldenburg;2025-02-11 00:00:00 +0100;Tuesday;11067;2;snow;;5827;5240;10621;446;5578;5043;249;197;7399;4990;2409;3668;837;2831;measured
Achternstraße, Oldenburg;2025-02-12 00:00:00 +0100;Wednesday;12141;2;snow;;6469;5672;11642;499;6186;5456;283;216;8786;5764;3022;3355;705;2650;measured
