location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents;towards Neumarkt pedestrians count;towards Neuer Wall pedestrians count;adult pedestrians count;child pedestrians count;adult towards Neumarkt pedestrians count;adult towards Neuer Wall pedestrians count;child towards Neumarkt pedestrians count;child towards Neuer Wall pedestrians count;zone 1 pedestrians count;zone 1 towards Neumarkt pedestrians count;zone 1 towards Neuer Wall pedestrians count;zone 2 pedestrians count;zone 2 towards Neumarkt pedestrians count;zone 2 towards Neuer Wall pedestrians count;collection_type
Steinstraße, Moers;2025-07-01 00:00:00 +0200;Tuesday;10656;36;clear-day;;5299;5357;10307;349;5122;5185;177;172;4546;2648;1898;6110;2651;3459;measured
Steinstraße, Moers;2025-07-02 00:00:00 +0200;Wednesday;7109;36;rain;;3574;3535;6945;164;3479;3466;95;69;3195;1894;1301;3914;1680;2234;measured
Steinstraße, Moers;2025-07-03 00:00:00 +0200;Thursday;16056;24;rain;;7983;8073;15445;611;7652;7793;331;280;6672;4287;2385;9384;3696;5688;measured
Steinstraße, Moers;2025-07-04 00:00:00 +0200;Friday;17582;25;partly-cloudy-day;;8906;8676;16876;706;8514;8362;392;314;7801;5047;2754;9781;3859;5922;measured
Steinstraße, Moers;2025-07-05 00:00:00 +0200;Saturday;18145;26;rain;;9185;8960;17458;687;8825;8633;360;327;8217;5556;2661;9928;3629;6299;measured
Steinstraße, Moers;2025-07-06 00:00:00 +0200;Sunday;16195;19;rain;;8297;7898;15529;666;7964;7565;333;333;8454;6702;1752;7741;1595;6146;measured
Steinstraße, Moers;2025-07-07 00:00:00 +0200;Monday;12868;20;rain;;6330;6538;12397;471;6099;6298;231;240;5697;3593;2104;7171;2737;4434;measured
Steinstraße, Moers;2025-07-08 00:00:00 +0200;Tuesday;15313;21;rain;;7578;7735;14735;578;7276;7459;302;276;7241;4625;2616;8072;2953;5119;measured
Steinstraße, Moers;2025-07-09 00:00:00 +0200;Wednesday;14722;23;partly-cloudy-day;;7327;7395;14140;582;7014;7126;313;269;5892;3768;2124;8830;3559;5271;measured
Steinstraße, Moers;2025-07-10 00:00:00 +0200;Thursday;15118;25;partly-cloudy-day;;7610;7508;14566;552;7314;7252;296;256;5833;3485;2348;9285;4125;5160;measured
Steinstraße, Moers;2025-07-11 00:00:00 +0200;Friday;17969;23;partly-cloudy-day;;9093;8876;17272;697;8709;8563;384;313;8093;5370;2723;9876;3723;6153;measured
Steinstraße, Moers;2025-07-12 00:00:00 +0200;Saturday;19624;27;rain;;10104;9520;18919;705;9692;9227;412;293;8190;5678;2512;11434;4426;7008;measured
Steinstraße, Moers;2025-07-13 00:00:00 +0200;Sunday;5488;25;partly-cloudy-day;;2824;2664;5298;190;2720;2578;104;86;1922;1250;672;3566;1574;1992;measured
Steinstraße, Moers;2025-07-14 00:00:00 +0200;Monday;14093;26;rain;;6941;7152;13525;568;6638;6887;303;265;6007;3896;2111;8086;3045;5041;measured
Steinstraße, Moers;2025-07-15 00:00:00 +0200;Tuesday;15862;24;rain;;7942;7920;15314;548;7644;7670;298;250;6847;4483;2364;9015;3459;5556;measured
Steinstraße, Moers;2025-07-16 00:00:00 +0200;Wednesday;8159;19;rain;;3977;4182;7931;228;3858;4073;119;109;3664;2061;1603;4495;1916;2579;measured
Steinstraße, Moers;2025-07-17 00:00:00 +0200;Thursday;14799;25;partly-cloudy-day;;7447;7352;14142;657;7089;7053;358;299;5817;3634;2183;8982;3813;5169;measured
Steinstraße, Moers;2025-07-18 00:00:00 +0200;Friday;15242;27;partly-cloudy-day;;7681;7561;14622;620;7344;7278;337;283;6579;4188;2391;8663;3493;5170;measured
Steinstraße, Moers;2025-07-19 00:00:00 +0200;Saturday;13219;30;rain;;6757;6462;12749;470;6500;6249;257;213;5515;3655;1860;7704;3102;4602;measured
Steinstraße, Moers;2025-07-20 00:00:00 +0200;Sunday;3014;28;rain;;1577;1437;2918;96;1519;1399;58;38;1141;716;425;1873;861;1012;measured
Steinstraße, Moers;2025-07-21 00:00:00 +0200;Monday;11696;24;rain;;5888;5808;11254;442;5651;5603;237;205;5195;3297;1898;6501;2591;3910;measured
Steinstraße, Moers;2025-07-22 00:00:00 +0200;Tuesday;14880;24;rain;;7692;7188;14293;587;7346;6947;346;241;6602;4333;2269;8278;3359;4919;measured
