location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents;towards Neumarkt pedestrians count;towards Neuer Wall pedestrians count;adult pedestrians count;child pedestrians count;adult towards Neumarkt pedestrians count;adult towards Neuer Wall pedestrians count;child towards Neumarkt pedestrians count;child towards Neuer Wall pedestrians count;zone 1 pedestrians count;zone 1 towards Neumarkt pedestrians count;zone 1 towards Neuer Wall pedestrians count;zone 2 pedestrians count;zone 2 towards Neumarkt pedestrians count;zone 2 towards Neuer Wall pedestrians count;collection_type
Steinstraße, Moers;2025-05-01 00:00:00 +0200;Thursday;5220;28;partly-cloudy-day;;2677;2543;5019;201;2574;2445;103;98;1578;1080;498;3642;1597;2045;measured
Steinstraße, Moers;2025-05-02 00:00:00 +0200;Friday;19212;28;rain;;9622;9590;18522;690;9251;9271;371;319;8803;5964;2839;10409;3658;6751;measured
Steinstraße, Moers;2025-05-03 00:00:00 +0200;Saturday;18045;19;rain;;9065;8980;17350;695;8689;8661;376;319;8430;5926;2504;9615;3139;6476;measured
Steinstraße, Moers;2025-05-04 00:00:00 +0200;Sunday;3381;13;rain;;1660;1721;3267;114;1602;1665;58;56;1402;863;539;1979;797;1182;measured
Steinstraße, Moers;2025-05-05 00:00:00 +0200;Monday;13106;15;rain;;6481;6625;12655;451;6232;6423;249;202;6017;3724;2293;7089;2757;4332;measured
Steinstraße, Moers;2025-05-06 00:00:00 +0200;Tuesday;13900;15;partly-cloudy-day;;6946;6954;13388;512;6673;6715;273;239;6275;4075;2200;7625;2871;4754;measured
Steinstraße, Moers;2025-05-07 00:00:00 +0200;Wednesday;13406;16;partly-cloudy-day;;6738;6668;12878;528;6454;6424;284;244;6158;4057;2101;7248;2681;4567;measured
Steinstraße, Moers;2025-05-08 00:00:00 +0200;Thursday;15178;17;partly-cloudy-day;;7528;7650;14543;635;7213;7330;315;320;6969;4488;2481;8209;3040;5169;measured
Steinstraße, Moers;2025-05-09 00:00:00 +0200;Friday;16891;19;partly-cloudy-day;;8543;8348;16286;605;8210;8076;333;272;7801;5245;2556;9090;3298;5792;measured
Steinstraße, Moers;2025-05-10 00:00:00 +0200;Saturday;21311;22;partly-cloudy-day;;10794;10517;20447;864;10334;10113;460;404;9699;6810;2889;11612;3984;7628;measured
Steinstraße, Moers;2025-05-11 00:00:00 +0200;Sunday;4974;25;clear-day;;2405;2569;4776;198;2304;2472;101;97;1707;1060;647;3267;1345;1922;measured
Steinstraße, Moers;2025-05-12 00:00:00 +0200;Monday;13508;24;partly-cloudy-day;;6739;6769;12996;512;6469;6527;270;242;6013;3751;2262;7495;2988;4507;measured
Steinstraße, Moers;2025-05-13 00:00:00 +0200;Tuesday;14903;23;partly-cloudy-day;;7410;7493;14317;586;7091;7226;319;267;6807;4428;2379;8096;2982;5114;measured
Steinstraße, Moers;2025-05-14 00:00:00 +0200;Wednesday;13698;23;partly-cloudy-day;;6941;6757;13188;510;6671;6517;270;240;6213;4102;2111;7485;2839;4646;measured
Steinstraße, Moers;2025-05-15 00:00:00 +0200;Thursday;13861;19;partly-cloudy-day;;6872;6989;13342;519;6620;6722;252;267;6204;3983;2221;7657;2889;4768;measured
Steinstraße, Moers;2025-05-16 00:00:00 +0200;Friday;17670;20;partly-cloudy-day;;8951;8719;17100;570;8643;8457;308;262;8527;5744;2783;9143;3207;5936;measured
Steinstraße, Moers;2025-05-17 00:00:00 +0200;Saturday;20910;19;partly-cloudy-day;;10605;10305;20156;754;10203;9953;402;352;9504;6758;2746;11406;3847;7559;measured
Steinstraße, Moers;2025-05-18 00:00:00 +0200;Sunday;6491;18;partly-cloudy-day;;3414;3077;6286;205;3298;2988;116;89;2700;1890;810;3791;1524;2267;measured
Steinstraße, Moers;2025-05-19 00:00:00 +0200;Monday;13363;22;partly-cloudy-day;;6627;6736;12811;552;6332;6479;295;257;5966;3818;2148;7397;2809;4588;measured
Steinstraße, Moers;2025-05-20 00:00:00 +0200;Tuesday;13623;23;partly-cloudy-day;;6873;6750;13082;541;6589;6493;284;257;6545;4369;2176;7078;2504;4574;measured
Steinstraße, Moers;2025-05-21 00:00:00 +0200;Wednesday;12553;20;partly-cloudy-day;;6268;6285;12030;523;5981;6049;287;236;5841;3706;2135;6712;2562;4150;measured
Steinstraße, Moers;2025-05-22 00:00:00 +0200;Thursday;12029;16;partly-cloudy-day;;5947;6082;11616;413;5744;5872;203;210;5589;3600;1989;6440;2347;4093;measured
Steinstraße, Moers;2025-05-23 00:00:00 +0200;Friday;13840;14;partly-cloudy-day;;6896;6944;13381;459;6652;6729;244;215;6609;4322;2287;7231;2574;4657;measured
Steinstraße, Moers;2025-05-24 00:00:00 +0200;Saturday;10747;16;rain;;5375;5372;10406;341;5174;5232;201;140;4991;3254;1737;5756;2121;3635;measured
Steinstraße, Moers;2025-05-25 00:00:00 +0200;Sunday;15304;20;rain;;7664;7640;14692;612;7338;7354;326;286;7485;5968;1517;7819;1696;6123;measured
Steinstraße, Moers;2025-05-26 00:00:00 +0200;Monday;12726;19;rain;;6279;6447;12300;426;6065;6235;214;212;5585;3692;1893;7141;2587;4554;measured
Steinstraße, Moers;2025-05-27 00:00:00 +0200;Tuesday;11572;18;rain;;5734;5838;11187;385;5534;5653;200;185;5607;3522;2085;5965;2212;3753;measured
Steinstraße, Moers;2025-05-28 00:00:00 +0200;Wednesday;10615;19;rain;;5285;5330;10279;336;5111;5168;174;162;4745;2932;1813;5870;2353;3517;measured
Steinstraße, Moers;2025-05-29 00:00:00 +0200;Thursday;4197;19;rain;;2112;2085;4047;150;2043;2004;69;81;1764;1049;715;2433;1063;1370;measured
Steinstraße, Moers;2025-05-30 00:00:00 +0200;Friday;22389;25;partly-cloudy-day;;11175;11214;21527;862;10727;10800;448;414;10510;7114;3396;11879;4061;7818;measured
Steinstraße, Moers;2025-05-31 00:00:00 +0200;Saturday;16721;26;rain;;8356;8365;16139;582;8045;8094;311;271;7404;5083;2321;9317;3273;6044;measured
